Sentence,Sentiment,Tokens
The company s share is quoted on NASDAQ OMX Helsinki Rautaruukki Oyj  RTRKS ,neutral,"['The', 'company', 's', 'share', 'is', 'quoted', 'on', 'NASDAQ', 'OMX', 'Helsinki', 'Rautaruukki', 'Oyj', 'RTRKS']"
Elcoteq SE is listed on the Nasdaq OMX Helsinki Ltd ,neutral,"['Elcoteq', 'SE', 'is', 'listed', 'on', 'the', 'Nasdaq', 'OMX', 'Helsinki', 'Ltd']"
Two of these contracts are for turntable anode vibrocompactors that will be delivered to Gansu Hualu Aluminum Co Ltd and another unnamed costumer ,neutral,"['Two', 'of', 'these', 'contracts', 'are', 'for', 'turntable', 'anode', 'vibrocompactors', 'that', 'will', 'be', 'delivered', 'to', 'Gansu', 'Hualu', 'Aluminum', 'Co', 'Ltd', 'and', 'another', 'unnamed', 'costumer']"
Aviva Friends Life top forecasts ahead of 56 billion pound merger,positive,"['Aviva', 'Friends', 'Life', 'top', 'forecasts', 'ahead', 'of', '56', 'billion', 'pound', 'merger']"
In stead of being based on a soft drink  as is usual  the Teho energy drink is made with fresh water ,neutral,"['In', 'stead', 'of', 'being', 'based', 'on', 'a', 'soft', 'drink', 'as', 'is', 'usual', 'the', 'Teho', 'energy', 'drink', 'is', 'made', 'with', 'fresh', 'water']"
The company plans to increase the unit s specialist staff to several dozen  depending on the market situation during 2010 ,neutral,"['The', 'company', 'plans', 'to', 'increase', 'the', 'unit', 's', 'specialist', 'staff', 'to', 'several', 'dozen', 'depending', 'on', 'the', 'market', 'situation', 'during', '2010']"
The company closed last year with a turnover of about four million euros ,neutral,"['The', 'company', 'closed', 'last', 'year', 'with', 'a', 'turnover', 'of', 'about', 'four', 'million', 'euros']"
Shire CEO steps up drive to get Baxalta board talking,positive,"['Shire', 'CEO', 'steps', 'up', 'drive', 'to', 'get', 'Baxalta', 'board', 'talking']"
Costco A Premier Retail Dividend Play httpstcoFa5cnh2t0t COST,positive,"['Costco', 'A', 'Premier', 'Retail', 'Dividend', 'Play', 'httpstcoFa5cnh2t0t', 'COST']"
The fivestorey  ecoefficient building will have a gross floor area of about 15000 sq m It will also include apartments ,neutral,"['The', 'fivestorey', 'ecoefficient', 'building', 'will', 'have', 'a', 'gross', 'floor', 'area', 'of', 'about', '15000', 'sq', 'm', 'It', 'will', 'also', 'include', 'apartments']"
The first installment of the Cinema Series concludes with a profile of Finnish inventor Olavi Linden  whose personal artistic journey and work at Fiskars has led to dozens of design awards ,neutral,"['The', 'first', 'installment', 'of', 'the', 'Cinema', 'Series', 'concludes', 'with', 'a', 'profile', 'of', 'Finnish', 'inventor', 'Olavi', 'Linden', 'whose', 'personal', 'artistic', 'journey', 'and', 'work', 'at', 'Fiskars', 'has', 'led', 'to', 'dozens', 'of', 'design', 'awards']"
All are welcome ,neutral,"['All', 'are', 'welcome']"
Stockmann and Swedish sector company AB Lindex entered into an agreement on September 30  2007  whereby Stockmann  or a whollyowned subsidiary of it  will make a public tender offer for all of Lindex s issued shares ,positive,"['Stockmann', 'and', 'Swedish', 'sector', 'company', 'AB', 'Lindex', 'entered', 'into', 'an', 'agreement', 'on', 'September', '30', '2007', 'whereby', 'Stockmann', 'or', 'a', 'whollyowned', 'subsidiary', 'of', 'it', 'will', 'make', 'a', 'public', 'tender', 'offer', 'for', 'all', 'of', 'Lindex', 's', 'issued', 'shares']"
HUHTAMAKI OYJ STOCK EXCHANGE RELEASE  1692008 AT 1332 Huhtamaki s Capital Markets Day for institutional investors and analysts is held in Espoo  September 16  2008 starting at 1330 pm Finnish time ,neutral,"['HUHTAMAKI', 'OYJ', 'STOCK', 'EXCHANGE', 'RELEASE', '1692008', 'AT', '1332', 'Huhtamaki', 's', 'Capital', 'Markets', 'Day', 'for', 'institutional', 'investors', 'and', 'analysts', 'is', 'held', 'in', 'Espoo', 'September', '16', '2008', 'starting', 'at', '1330', 'pm', 'Finnish', 'time']"
 We are pleased to welcome Tapeks Noma into Cramo group ,positive,"['We', 'are', 'pleased', 'to', 'welcome', 'Tapeks', 'Noma', 'into', 'Cramo', 'group']"
 Profit before taxes was EUR 1059 827 million ,neutral,"['Profit', 'before', 'taxes', 'was', 'EUR', '1059', '827', 'million']"
Royal Dutch Shell to Buy BG Group for Nearly 70 Billion,positive,"['Royal', 'Dutch', 'Shell', 'to', 'Buy', 'BG', 'Group', 'for', 'Nearly', '70', 'Billion']"
FinancialWire tm is not a press release service  and receives no compensation for its news  opinions or distributions ,neutral,"['FinancialWire', 'tm', 'is', 'not', 'a', 'press', 'release', 'service', 'and', 'receives', 'no', 'compensation', 'for', 'its', 'news', 'opinions', 'or', 'distributions']"
ASSA ABLOY Kaupthing Bank gave a  neutral  recommendation and a share price target of 174 crowns  247  19 euro on Swedish lock maker Assa Abloy AB ,neutral,"['ASSA', 'ABLOY', 'Kaupthing', 'Bank', 'gave', 'a', 'neutral', 'recommendation', 'and', 'a', 'share', 'price', 'target', 'of', '174', 'crowns', '247', '19', 'euro', 'on', 'Swedish', 'lock', 'maker', 'Assa', 'Abloy', 'AB']"
The item included restructuring costs of EUR1 6 m  while a year earlier they were EUR13 1 m Diluted EPS stood at EUR0 3 versus a loss per share of EUR 01 ,positive,"['The', 'item', 'included', 'restructuring', 'costs', 'of', 'EUR1', '6', 'm', 'while', 'a', 'year', 'earlier', 'they', 'were', 'EUR13', '1', 'm', 'Diluted', 'EPS', 'stood', 'at', 'EUR0', '3', 'versus', 'a', 'loss', 'per', 'share', 'of', 'EUR', '01']"
In 2005 the bank posted a net profit of Lt 82 mn ,neutral,"['In', '2005', 'the', 'bank', 'posted', 'a', 'net', 'profit', 'of', 'Lt', '82', 'mn']"
AAPL afternoon selloff as usual will be brutal get ready to lose a ton of money,negative,"['AAPL', 'afternoon', 'selloff', 'as', 'usual', 'will', 'be', 'brutal', 'get', 'ready', 'to', 'lose', 'a', 'ton', 'of', 'money']"
TSLA recalling pretty much every single model X cnnbrk got to short that even at work you jump in money trade,negative,"['TSLA', 'recalling', 'pretty', 'much', 'every', 'single', 'model', 'X', 'cnnbrk', 'got', 'to', 'short', 'that', 'even', 'at', 'work', 'you', 'jump', 'in', 'money', 'trade']"
Dolce  Gabbana has asked the European Union to declare Marimekko Corporation s  Unikko  floral pattern trademark invalid  in a continuing dispute between the two companies ,negative,"['Dolce', 'Gabbana', 'has', 'asked', 'the', 'European', 'Union', 'to', 'declare', 'Marimekko', 'Corporation', 's', 'Unikko', 'floral', 'pattern', 'trademark', 'invalid', 'in', 'a', 'continuing', 'dispute', 'between', 'the', 'two', 'companies']"
InterContinental Hotels firstquarter global room revenue lags estimates,negative,"['InterContinental', 'Hotels', 'firstquarter', 'global', 'room', 'revenue', 'lags', 'estimates']"
According to Finnish pension insurance company Varma  Varma was the recipient of over two thirds of the revenue of the earningsrelated pension cover that was under competitive tendering in Finland ,positive,"['According', 'to', 'Finnish', 'pension', 'insurance', 'company', 'Varma', 'Varma', 'was', 'the', 'recipient', 'of', 'over', 'two', 'thirds', 'of', 'the', 'revenue', 'of', 'the', 'earningsrelated', 'pension', 'cover', 'that', 'was', 'under', 'competitive', 'tendering', 'in', 'Finland']"
A portion   125 million  will be recorded as part of its winnings in a prior patent dispute with Finnish phone maker Nokia Oyj ,positive,"['A', 'portion', '125', 'million', 'will', 'be', 'recorded', 'as', 'part', 'of', 'its', 'winnings', 'in', 'a', 'prior', 'patent', 'dispute', 'with', 'Finnish', 'phone', 'maker', 'Nokia', 'Oyj']"
LG still paying price for dividend cut during crisis chief says,negative,"['LG', 'still', 'paying', 'price', 'for', 'dividend', 'cut', 'during', 'crisis', 'chief', 'says']"
The volume of investments in the two phases of the project is estimated at USD 300mn  EUR 21503 mn  ,neutral,"['The', 'volume', 'of', 'investments', 'in', 'the', 'two', 'phases', 'of', 'the', 'project', 'is', 'estimated', 'at', 'USD', '300mn', 'EUR', '21503', 'mn']"
Russia accounted for 9  of the Lagardere magazine division s revenue  or EUR 11440 mn  USD 14811 mn  in 2009  the USA  for 18  ,neutral,"['Russia', 'accounted', 'for', '9', 'of', 'the', 'Lagardere', 'magazine', 'division', 's', 'revenue', 'or', 'EUR', '11440', 'mn', 'USD', '14811', 'mn', 'in', '2009', 'the', 'USA', 'for', '18']"
The company also estimates the already carried out investments to lead to an increase in its net sales for 2010 from 2009 when they reached EUR 1417 million ,positive,"['The', 'company', 'also', 'estimates', 'the', 'already', 'carried', 'out', 'investments', 'to', 'lead', 'to', 'an', 'increase', 'in', 'its', 'net', 'sales', 'for', '2010', 'from', '2009', 'when', 'they', 'reached', 'EUR', '1417', 'million']"
Profit of the accounting period was EUR 03 mn ,neutral,"['Profit', 'of', 'the', 'accounting', 'period', 'was', 'EUR', '03', 'mn']"
The six breweries recorded a 52 percent growth in domestic beer sales last year to 27021 million liters  from 25688 million liters sold in 2005 ,positive,"['The', 'six', 'breweries', 'recorded', 'a', '52', 'percent', 'growth', 'in', 'domestic', 'beer', 'sales', 'last', 'year', 'to', '27021', 'million', 'liters', 'from', '25688', 'million', 'liters', 'sold', 'in', '2005']"
In AugustOctober 2010  the company s result before taxes totalled EUR 96 mn  up from EUR 05 mn in the corresponding period in 2009 ,positive,"['In', 'AugustOctober', '2010', 'the', 'company', 's', 'result', 'before', 'taxes', 'totalled', 'EUR', '96', 'mn', 'up', 'from', 'EUR', '05', 'mn', 'in', 'the', 'corresponding', 'period', 'in', '2009']"
Systeemitiimi s sales and project resources will also be strengthened  director Paul Skogberg said ,positive,"['Systeemitiimi', 's', 'sales', 'and', 'project', 'resources', 'will', 'also', 'be', 'strengthened', 'director', 'Paul', 'Skogberg', 'said']"
Tesco share price jumps as Q3 sales top estimates,positive,"['Tesco', 'share', 'price', 'jumps', 'as', 'Q3', 'sales', 'top', 'estimates']"
The fine print is here ,neutral,"['The', 'fine', 'print', 'is', 'here']"
The price for logs has clearly improved from 2009 and also the price of pulpwood has gone up ,positive,"['The', 'price', 'for', 'logs', 'has', 'clearly', 'improved', 'from', '2009', 'and', 'also', 'the', 'price', 'of', 'pulpwood', 'has', 'gone', 'up']"
Thus  SysOpen Digia has  in accordance with Chapter 14 Section 21 of the Finnish Companies Act 2991978  734  obtained title to all the shares of Sentera that are to be redeemed ,neutral,"['Thus', 'SysOpen', 'Digia', 'has', 'in', 'accordance', 'with', 'Chapter', '14', 'Section', '21', 'of', 'the', 'Finnish', 'Companies', 'Act', '2991978', '734', 'obtained', 'title', 'to', 'all', 'the', 'shares', 'of', 'Sentera', 'that', 'are', 'to', 'be', 'redeemed']"
Diluted earnings per share  EPS  fell to EUR 063 from EUR 171 ,neutral,"['Diluted', 'earnings', 'per', 'share', 'EPS', 'fell', 'to', 'EUR', '063', 'from', 'EUR', '171']"
At 337 pm Eastern time  a block of 2400 contracts changed hands at a bid price of  045 ,neutral,"['At', '337', 'pm', 'Eastern', 'time', 'a', 'block', 'of', '2400', 'contracts', 'changed', 'hands', 'at', 'a', 'bid', 'price', 'of', '045']"
Some of the most recent technology deliveries include refinery technology to Anrak Aluminium  an iron ore pelletizing plant to Tata Steel and iron ore sintering plants to Bhushan Steel ,neutral,"['Some', 'of', 'the', 'most', 'recent', 'technology', 'deliveries', 'include', 'refinery', 'technology', 'to', 'Anrak', 'Aluminium', 'an', 'iron', 'ore', 'pelletizing', 'plant', 'to', 'Tata', 'Steel', 'and', 'iron', 'ore', 'sintering', 'plants', 'to', 'Bhushan', 'Steel']"
VIPS similar pattern like beginning of May Did u sell Same nowwill go up much higher after this drop,positive,"['VIPS', 'similar', 'pattern', 'like', 'beginning', 'of', 'May', 'Did', 'u', 'sell', 'Same', 'nowwill', 'go', 'up', 'much', 'higher', 'after', 'this', 'drop']"
The firm generated sales of 187 mln eur in 2005 ,neutral,"['The', 'firm', 'generated', 'sales', 'of', '187', 'mln', 'eur', 'in', '2005']"
Stora Enso has also had meetings with the labor authorities  Employment and Economic Development Centres and representatives of the government in order to find solutions ,neutral,"['Stora', 'Enso', 'has', 'also', 'had', 'meetings', 'with', 'the', 'labor', 'authorities', 'Employment', 'and', 'Economic', 'Development', 'Centres', 'and', 'representatives', 'of', 'the', 'government', 'in', 'order', 'to', 'find', 'solutions']"
AstraZeneca profit down as sales of stalwarts fade,negative,"['AstraZeneca', 'profit', 'down', 'as', 'sales', 'of', 'stalwarts', 'fade']"
RT andrewnyquist Chartology Yahoo httpstksco1itr YHOO  Crazy looking chart but nearing breakout resistance line,positive,"['RT', 'andrewnyquist', 'Chartology', 'Yahoo', 'httpstksco1itr', 'YHOO', 'Crazy', 'looking', 'chart', 'but', 'nearing', 'breakout', 'resistance', 'line']"
Most bullish stocks on Twitter during this dip YHOO GDX GOOGL STZ GOLD EW VZ CELG SBUX SCTY more httpstcoiuZJelfwt3,positive,"['Most', 'bullish', 'stocks', 'on', 'Twitter', 'during', 'this', 'dip', 'YHOO', 'GDX', 'GOOGL', 'STZ', 'GOLD', 'EW', 'VZ', 'CELG', 'SBUX', 'SCTY', 'more', 'httpstcoiuZJelfwt3']"
Finnish GeoSentric s net sales decreased to EUR 939000 in JanuaryMarch 2009 ,negative,"['Finnish', 'GeoSentric', 's', 'net', 'sales', 'decreased', 'to', 'EUR', '939000', 'in', 'JanuaryMarch', '2009']"
Cohen  Steers  Inc  5 534 626 shares representing 4985  of the share capital and voting rights ,neutral,"['Cohen', 'Steers', 'Inc', '5', '534', '626', 'shares', 'representing', '4985', 'of', 'the', 'share', 'capital', 'and', 'voting', 'rights']"
More staff has been recruited in Japan to further complement its network of close to 50 service locations in more than 20 countries worldwide ,positive,"['More', 'staff', 'has', 'been', 'recruited', 'in', 'Japan', 'to', 'further', 'complement', 'its', 'network', 'of', 'close', 'to', '50', 'service', 'locations', 'in', 'more', 'than', '20', 'countries', 'worldwide']"
Paper companies were in negative territories  with Stora Enso R shedding 162 pct to 1273 eur  UPMKymmene down 080 pct at 1864 eur and Mreal B 018 pct lower at 557 eur ,neutral,"['Paper', 'companies', 'were', 'in', 'negative', 'territories', 'with', 'Stora', 'Enso', 'R', 'shedding', '162', 'pct', 'to', '1273', 'eur', 'UPMKymmene', 'down', '080', 'pct', 'at', '1864', 'eur', 'and', 'Mreal', 'B', '018', 'pct', 'lower', 'at', '557', 'eur']"
KaukoTelko s centralized administration will be dissolved and appropriate parts of it will be transferred to operating activities and Group administration by the end of the year ,neutral,"['KaukoTelko', 's', 'centralized', 'administration', 'will', 'be', 'dissolved', 'and', 'appropriate', 'parts', 'of', 'it', 'will', 'be', 'transferred', 'to', 'operating', 'activities', 'and', 'Group', 'administration', 'by', 'the', 'end', 'of', 'the', 'year']"
Operating profit for the quarter AprilJune 2006 amounted to EUR182 2 m on sales of EUR3 62 bn ,neutral,"['Operating', 'profit', 'for', 'the', 'quarter', 'AprilJune', '2006', 'amounted', 'to', 'EUR182', '2', 'm', 'on', 'sales', 'of', 'EUR3', '62', 'bn']"
Atria chose the DeLight to attract consumers in the 2545 age group to its Atria Fresh range of microwaveable meals ,neutral,"['Atria', 'chose', 'the', 'DeLight', 'to', 'attract', 'consumers', 'in', 'the', '2545', 'age', 'group', 'to', 'its', 'Atria', 'Fresh', 'range', 'of', 'microwaveable', 'meals']"
Finnish IT solutions provider Affecto Oyj HEL  AFE1V said today its slipped to a net loss of EUR 115000 USD 152000 in the second quarter of 2010 from a profit of EUR 845000 in the corresponding period a year earlier ,neutral,"['Finnish', 'IT', 'solutions', 'provider', 'Affecto', 'Oyj', 'HEL', 'AFE1V', 'said', 'today', 'its', 'slipped', 'to', 'a', 'net', 'loss', 'of', 'EUR', '115000', 'USD', '152000', 'in', 'the', 'second', 'quarter', 'of', '2010', 'from', 'a', 'profit', 'of', 'EUR', '845000', 'in', 'the', 'corresponding', 'period', 'a', 'year', 'earlier']"
US sanctions put GazpromShell alliance plans in jeopardy,negative,"['US', 'sanctions', 'put', 'GazpromShell', 'alliance', 'plans', 'in', 'jeopardy']"
Profit for the period was EUR 109 mn  down from EUR 143 mn in 2009 ,neutral,"['Profit', 'for', 'the', 'period', 'was', 'EUR', '109', 'mn', 'down', 'from', 'EUR', '143', 'mn', 'in', '2009']"
Profit for the period was EUR 59 mn  up from EUR 13 mn ,positive,"['Profit', 'for', 'the', 'period', 'was', 'EUR', '59', 'mn', 'up', 'from', 'EUR', '13', 'mn']"
Operating profit fell to EUR 203 mn from EUR 742 mn in the second quarter of 2008 ,neutral,"['Operating', 'profit', 'fell', 'to', 'EUR', '203', 'mn', 'from', 'EUR', '742', 'mn', 'in', 'the', 'second', 'quarter', 'of', '2008']"
However  sales returned to growth in AprilJune 2010  CEO Pekka Eloholma said ,positive,"['However', 'sales', 'returned', 'to', 'growth', 'in', 'AprilJune', '2010', 'CEO', 'Pekka', 'Eloholma', 'said']"
Operating profit totaled EUR 186 mn or 83  of net sales ,neutral,"['Operating', 'profit', 'totaled', 'EUR', '186', 'mn', 'or', '83', 'of', 'net', 'sales']"
Changes in the market situation and tougher price competition have substantially reduced demand for bread packaging manufactured at the Kauhava plant  according to the company ,negative,"['Changes', 'in', 'the', 'market', 'situation', 'and', 'tougher', 'price', 'competition', 'have', 'substantially', 'reduced', 'demand', 'for', 'bread', 'packaging', 'manufactured', 'at', 'the', 'Kauhava', 'plant', 'according', 'to', 'the', 'company']"
In connection with the deal  Digia will employ 19 persons from Nokia in Oslo and in Silicon Valley in the USA ,neutral,"['In', 'connection', 'with', 'the', 'deal', 'Digia', 'will', 'employ', '19', 'persons', 'from', 'Nokia', 'in', 'Oslo', 'and', 'in', 'Silicon', 'Valley', 'in', 'the', 'USA']"
The Brazilian unit of Finnish security solutions provider FSecure signed up 1500 new clients last year  online news source Reseller Web quoted the division s commercial director  Vladimir Brando  as saying ,positive,"['The', 'Brazilian', 'unit', 'of', 'Finnish', 'security', 'solutions', 'provider', 'FSecure', 'signed', 'up', '1500', 'new', 'clients', 'last', 'year', 'online', 'news', 'source', 'Reseller', 'Web', 'quoted', 'the', 'division', 's', 'commercial', 'director', 'Vladimir', 'Brando', 'as', 'saying']"
The fair value of the company s investment properties went down to EUR 2768 billion at the end of 2009 from EUR 2916 billion a year earlier ,neutral,"['The', 'fair', 'value', 'of', 'the', 'company', 's', 'investment', 'properties', 'went', 'down', 'to', 'EUR', '2768', 'billion', 'at', 'the', 'end', 'of', '2009', 'from', 'EUR', '2916', 'billion', 'a', 'year', 'earlier']"
Dealers said the share was largely hit by investor disappointment about a refining margin of just 948 usd per barrel for the quarter and the performance of its shipping unit  which saw EBIT drop to 5 mln eur from 20 mln eur a year amid a fall in volumes and tanker rates ,negative,"['Dealers', 'said', 'the', 'share', 'was', 'largely', 'hit', 'by', 'investor', 'disappointment', 'about', 'a', 'refining', 'margin', 'of', 'just', '948', 'usd', 'per', 'barrel', 'for', 'the', 'quarter', 'and', 'the', 'performance', 'of', 'its', 'shipping', 'unit', 'which', 'saw', 'EBIT', 'drop', 'to', '5', 'mln', 'eur', 'from', '20', 'mln', 'eur', 'a', 'year', 'amid', 'a', 'fall', 'in', 'volumes', 'and', 'tanker', 'rates']"
 It is a testament to the quality of our LTE solution and our commitment to the Japanese market   he added ,neutral,"['It', 'is', 'a', 'testament', 'to', 'the', 'quality', 'of', 'our', 'LTE', 'solution', 'and', 'our', 'commitment', 'to', 'the', 'Japanese', 'market', 'he', 'added']"
The companies  aim is to finalize the negotiations and sign the contracts at the start of October 2008 ,neutral,"['The', 'companies', 'aim', 'is', 'to', 'finalize', 'the', 'negotiations', 'and', 'sign', 'the', 'contracts', 'at', 'the', 'start', 'of', 'October', '2008']"
Metso Foundries Jyvaskyla Oy will discontinue production on this line by 30 September 2008  the company said ,neutral,"['Metso', 'Foundries', 'Jyvaskyla', 'Oy', 'will', 'discontinue', 'production', 'on', 'this', 'line', 'by', '30', 'September', '2008', 'the', 'company', 'said']"
A total six of the polled analysts rated Mreal  two gave  buy    accumulate   three gave  hold  and only one gave  sell  ,neutral,"['A', 'total', 'six', 'of', 'the', 'polled', 'analysts', 'rated', 'Mreal', 'two', 'gave', 'buy', 'accumulate', 'three', 'gave', 'hold', 'and', 'only', 'one', 'gave', 'sell']"
In September 2010  the Finnish group agreed to buy Danish company Rose Poultry AS for up to EUR23 9 m in a combination of cash and stock ,positive,"['In', 'September', '2010', 'the', 'Finnish', 'group', 'agreed', 'to', 'buy', 'Danish', 'company', 'Rose', 'Poultry', 'AS', 'for', 'up', 'to', 'EUR23', '9', 'm', 'in', 'a', 'combination', 'of', 'cash', 'and', 'stock']"
YANG Double bottom 52,positive,"['YANG', 'Double', 'bottom', '52']"
Tesco share price down as grocer faces SFO investigation outcome,negative,"['Tesco', 'share', 'price', 'down', 'as', 'grocer', 'faces', 'SFO', 'investigation', 'outcome']"
aapl news is becoming very bullish again httpstkscotMU,positive,"['aapl', 'news', 'is', 'becoming', 'very', 'bullish', 'again', 'httpstkscotMU']"
GS Engineering will install the valves at a liquefied natural gas LNG plant it has built for UAE LNG extraction and gas plants operator GASCO in Ruwais  UAE ,neutral,"['GS', 'Engineering', 'will', 'install', 'the', 'valves', 'at', 'a', 'liquefied', 'natural', 'gas', 'LNG', 'plant', 'it', 'has', 'built', 'for', 'UAE', 'LNG', 'extraction', 'and', 'gas', 'plants', 'operator', 'GASCO', 'in', 'Ruwais', 'UAE']"
The percentages of shares and voting rights have been calculated in proportion to the total number of shares registered with the Trade Register and the total number of voting rights related to them ,neutral,"['The', 'percentages', 'of', 'shares', 'and', 'voting', 'rights', 'have', 'been', 'calculated', 'in', 'proportion', 'to', 'the', 'total', 'number', 'of', 'shares', 'registered', 'with', 'the', 'Trade', 'Register', 'and', 'the', 'total', 'number', 'of', 'voting', 'rights', 'related', 'to', 'them']"
MReal said there are  no grounds  for the rumors  which  have been circulating in the market for some months  ,neutral,"['MReal', 'said', 'there', 'are', 'no', 'grounds', 'for', 'the', 'rumors', 'which', 'have', 'been', 'circulating', 'in', 'the', 'market', 'for', 'some', 'months']"
Lember said the matter was topical also in Estonia  where a bill has been drafted at the Social Affairs Ministry that would scrap oldage pensions on favorable conditions ,neutral,"['Lember', 'said', 'the', 'matter', 'was', 'topical', 'also', 'in', 'Estonia', 'where', 'a', 'bill', 'has', 'been', 'drafted', 'at', 'the', 'Social', 'Affairs', 'Ministry', 'that', 'would', 'scrap', 'oldage', 'pensions', 'on', 'favorable', 'conditions']"
