Sentence,Sentiment
Finnish GeoSentric net sale decreased EUR 939000 JanuaryMarch 2009,negative
Cohen Steers Inc 5 534 626 share representing 4985 share capital voting right,neutral
staff recruited Japan complement network close 50 service location 20 country worldwide,positive
Paper company negative territory Stora Enso R shedding 162 pct 1273 eur UPMKymmene 080 pct 1864 eur Mreal B 018 pct lower 557 eur,neutral
KaukoTelko centralized administration dissolved appropriate part transferred operating activity Group administration end year,neutral
Operating profit quarter AprilJune 2006 amounted EUR182 2 sale EUR3 62 bn,neutral
Atria chose DeLight attract consumer 2545 age group Atria Fresh range microwaveable meal,neutral
Finnish solution provider Affecto Oyj HEL AFE1V said today slipped net loss EUR 115000 USD 152000 second quarter 2010 profit EUR 845000 corresponding period year earlier,neutral
US sanction put GazpromShell alliance plan jeopardy,negative
Profit period EUR 109 mn EUR 143 mn 2009,neutral
Profit period EUR 59 mn EUR 13 mn,positive
Operating profit fell EUR 203 mn EUR 742 mn second quarter 2008,neutral
However sale returned growth AprilJune 2010 CEO Pekka Eloholma said,positive
Operating profit totaled EUR 186 mn 83 net sale,neutral
Changes market situation tougher price competition substantially reduced demand bread packaging manufactured Kauhava plant according company,negative
connection deal Digia employ 19 person Nokia Oslo Silicon Valley USA,neutral
Brazilian unit Finnish security solution provider FSecure signed 1500 new client last year online news source Reseller Web quoted division commercial director Vladimir Brando saying,positive
fair value company investment property went EUR 2768 billion end 2009 EUR 2916 billion year earlier,neutral
Dealers said share largely hit investor disappointment refining margin 948 usd per barrel quarter performance shipping unit saw EBIT drop 5 mln eur 20 mln eur year amid fall volume tanker rate,negative
testament quality LTE solution commitment Japanese market added,neutral
company aim finalize negotiation sign contract start October 2008,neutral
Metso Foundries Jyvaskyla Oy discontinue production line 30 September 2008 company said,neutral
total six polled analyst rated Mreal two gave buy accumulate three gave hold one gave sell,neutral
September 2010 Finnish group agreed buy Danish company Rose Poultry EUR23 9 combination cash stock,positive
YANG Double bottom 52,positive
Tesco share price grocer face SFO investigation outcome,negative
aapl news becoming bullish httpstkscotMU,positive
GS Engineering install valve liquefied natural gas LNG plant built UAE LNG extraction gas plant operator GASCO Ruwais UAE,neutral
percentage share voting right calculated proportion total number share registered Trade Register total number voting right related,neutral
MReal said ground rumor circulating market month,neutral
Lember said matter topical also Estonia bill drafted Social Affairs Ministry would scrap oldage pension favorable condition,neutral
Moody said gave P A1 longterm senior unsecured P P1 shortterm debt rating Finnish lender Aktia Bank EUR1bn USD1 4 bn euro mediumterm note EMTN program 25 March 2011,neutral
TSLA recall,negative
liquidity providing interrupted May 11 2007 Aspocomp Group Oyj share traded 050 cent Aspocomp stock exchange release 1152007,neutral
Hargreaves Lansdown buck weak market see asset rise 26 percent,positive
1259 pm OMX Helsinki 25 index 032 pct lower 269481,negative
decision mean temporary layoff fixed duration company Nastola Jyvaskyla unit southern central Finland respectively,neutral
value order EUR 10mn,neutral
Ms Laakso responsible HKScan HR function development Group smarket area,neutral
Fiskars also engaged global supply marine energy equipment solution service associated company Wartsila Corporation,neutral
Aberdeen Asset Management Gains Foothold China,positive
Finland dominating rail company VR planning set infected passenger longdistance trip separate carriage,neutral
November Finnish government decreased ownership company 311 percent 38 percent,neutral
Finnish Exel Composites technology company design manufacture market composite profile tube various industrial application report net sale decreased 06 second quarter 2010 EUR 192 mn EUR 193 mn corresponding period 2009,neutral
Bavelloni NST joint venture Bavelloni Tools completes semiproducts produced Italy highquality tool sold DiaPol brand,neutral
tool patent pending design allows consumer lay entire project removable plate using multiple clear stamp kind,neutral
GOOGL short 740 upper BB overbought,negative
LIGHTS curfew curl latest bestseller treat eye perfect reading light Luceplan,neutral
UPMKymmene Corp world largest maker magazine paper Tuesday reported 19percent profit drop lower paper price higher cost strong euro hurt revenue,negative
total value contract EUR 8 million,neutral
prerequisite inclusion program receipt gain key employee acquire Aspo share amount determined Board advance maximum,neutral
Mr Doring Eaton since 1989 acted Business Unit Manager Eaton Power Controls Business Unit since January 2007,neutral
250 sq 2691 sq ft store Copenhagen premier shopping district inaugurated today strengthening company presence Nordic capital,positive
financial statement first quarter 2010 Tikkurila reported discontinued operation,neutral
world second largest stainless steel maker said net profit threemonth period Dec 31 surged euro603 million US 781 million euro3 33 US 431 per share euro172 million euro0 94 per share previous year,positive
Name Applicant Jot Automation OYName Inventor Mammila Tuomo Piirainen Mika Kellokoski MikaApplication 2424KOLNP2008 ADate filing Application 16062008Publication Date 30012009,neutral
Netflix Grows Efforts Create Loyal Customers NFLX httpstco5QXBkoBphe,positive
OMX Nordic 40 OMXN40 index comprising 40 traded Nordic stock Nasdaq OMX exchange closed 087 106414 point Thursday,negative
AAPL nibbling small long via 525 buying 13min chart,positive
operating margin Aker Yards Cruise Ferries division went 83 64 first quarter 2007,negative
TYC break new high lot technical looking great right,positive
Eero Katajavuori currently Group Vice President Human Resources take yearlong sabbatical starting October 1 2010,neutral
Whats LULU Numbers looked good great good think conference call instill confidence,neutral
adjustment measure carried phase secure delivery capability,neutral
Alma Media Corporation Press Release 15 March 2010 TYRVAAN SANOMAT PAIKALLISSANOMAT BOUGHT SUOMEN PAIKALLISSANOMAT Two local paper Tyrvaan Sanomat Paikallissanomat appearing Sastamala neighbouring municipality bought Suomen Paikallissanomat Oy,neutral
Temporary layoff affecting entire workforce also implemented,negative
meeting medium analyst held day 1030 Stonesoft Headquarters Helsinki Italahdenkatu 22 Interim report presented Stonesoft CEO Ilkka Hiidenheimo,neutral
Finnish SampoRosenlew manufacture approximately seven forest machine monthly half machine exported,neutral
Facebook near buy point last week face different technical test today httpstcoc72LLMpiNM FB AAPL NFLX httpstcofPFbYTYPuY,positive
4 February 2011 Finnish broadband data communication system provider Teleste Oyj HEL TLT1V said Wednesday net profit rocketed EUR4 8 2010 EUR416 000 2009 lifted dividend proposal,positive
FREE Ha Heeeeeere come pump glad picked 9K end day Get ready bull ride,positive
Finnish technology group Aspocomp Group Oyj OMX Helsinki ACG1V issued third quarter report Thursday 13 November posting operating profit EUR0 4 compared loss EUR0 5 third quarter 2007,positive
building complex consists highquality office retail space totalling 49200 square metre company said,neutral
Finnish insurance company Fennia Kesko Group ending loyal customer cooperation,neutral
unit planned operational second half 2007 full stream 2008,neutral
ITG share deal estimated 500000 euro 627000,neutral
plant expected enter commercial operation mid2009,neutral
Aspo also investigated sale opportunity Kaukomarkkinat electronics business,neutral
BG Group appoints new CEO one month early,neutral
acquisition immediate positive impact Aspocomp financial result,positive
Finnair passenger load factor measure number sold seat share available seat dropped 13 percentage point 767 September,negative
RT bman1 LNG look primed also EGHT poised run,positive
also 77 pct 12month volume weighted average price stock,positive
Coke dividend 3 Google dividend 0 passive income Coke take GOOG KO httpstcoQBsoWjxOST,neutral
Profit tax EUR 54 mn EUR 36 mn year earlier,positive
subsidiary setting facility manufacturing highdensity interconnection printed circuit board PCBs Nokia special economic zone Sriperumbudur near Chennai,neutral
CRM Sep 40 call 35 since entry BANG httpstkscodeDm,positive
JanuaryJune 2010 diluted loss per share stood EUR0 3 versus EUR0 1 first half 2009,negative
Rapala said estimate make saving 12 mln eur year centralising French operation one site,positive
VMW Got nice push today following small sweeper May C morning,positive
topped consensus forecast earnings 021 euro share,positive
RD Loan,neutral
future company intends look knowhow outside company cooperate actor sector,positive
need ready window open Rosberg said,neutral
50000 tonne asphalt mix used contract,neutral
PA JPMorgan Chase Co NYSE JPM Pohjoa Bank joint leadmanagers senior unsecured deal,neutral
CTRP breaking good vol parser buy signal noticed bob langs comment looking 48 fast,positive
Sales Finland decreased 105 January sale outside Finland dropped 17,neutral
pulp production Finnish Kemijrvi also liquidated 1100 employee loose job,negative
Nordea cheapest also couple 30 debt,neutral
Jussi Pesonen member Sampo Board since 2006 renounce seat Sampo Board,neutral
Tesla recalling 2700 Model X car httpstco8Z7BkVsTl9 TSLA,negative
Adjusted change Group structure Division net sale increased 17,positive
Making matter difficult company said grappling higher oil gas price pushed cost energy raw material transportation,neutral
amending proposal simplifies proposed plan increase incentive key employee stay Company,positive
solution expanded include ground staff task,neutral
Operating loss totalled EUR 32 mn compared profit EUR 72 mn third quarter 2008,negative
FEDDAY looking sharp move equity AAPL HD LOW FB seeing UVXY TVIX getting hammered even though market,positive
Net sale totaled EUR 936 mn EUR 932 mn corresponding period 2005,positive
consequence Works Council withdrawn petition suspend reorganisation,neutral
CEO Erkki Jrvinen happy company performance 2010,positive
Comparable net sale expected increase 10 2008 line group target,positive
Following transaction Lundbeck worldwide right nalmefene excluding North America Mexico Turkey SouthKorea,positive
government started selloff last month putting 8 percent stake TeliaSonera auction bloc,neutral
report go provide detailed profile ten leading European specialty chemical company brief profile major player,neutral
operating profit net sale threemonth period increased respectively EUR16 0 EUR139m compared corresponding quarter 2006,positive
company expects net sale whole 2009 previous year level,neutral
company headquartered Sievi Finland listed Nordic Exchange Helsinki,neutral
Commission income increased 22 EUR 44 mn lending volume rose 135,positive
Finnish company sold UK operation consisting 50 staff office London Birmingham Manchester part deal Hampden July 2001 Europeanwide property casualty arm Sampo Industrial,neutral
building home improvement trade sale decreased 225 EUR 2014 mn,negative
Innova 2 building located close downtown immediate vicinity Paviljonki travel center within walking distance heart city thanks trade fair bridge,neutral
Finnish textile clothing group Marimekko Oyj posted net profit 799 mln euro 104 mln 2006 compared 84 mln euro 109 mln 2005,neutral
main strength cooperation project lie merging knowhow two large company,positive
Shareholders right put agenda AGM item within competence general meeting,neutral
Kazgiprotsvetmet Outotec Finland signed agreement strategic cooperation marketing providing mineral processing metallurgical plant related service Kazakhstan surrounding country,positive
Due rapid decrease net sale personnel reduction carried wider scale initially expected,neutral
government instead proposed exchange state stake LMT TeliaSonera stake Lattelecom,neutral
Stora due release fourthquarter 2009 fullyear earnings Feb 4,neutral
Fullyear operating result 2008 36 million negative,neutral
NQ got hit hard lower look like found support 1889 httpstkscos052z,negative
2008 AVC Systemhaus net sale EUR 10 million USD 71,neutral
company established 3G base station 17000 foot foot Mount Everest enable mountain climber 29035foot summit surf Internet even send video exploit,positive
offer customer solution based renewable raw material,neutral
survey conducted Taloustutkimus Sampo Life show company badly prepared losing key staff member,neutral
Antti Orkola president Kemira GrowHow Industrial Solutions unit told Thomson Financial News company put opening mine price phosphate quite depressed long time,neutral
pretax profit group life insurance business increased EUR36m EUR27m,positive
make available following brandnew market analysis Cement Pakistan Cement Malaysia Cement Taiwan Cement Philippines analysis give clear overview actual situation future outlook cement industry Asian country,neutral
Company serf approximately 3000 customer 100 country,neutral
RT alphatrends VMarkets Still Acting Weak httpstksco1agn SPY QQQ XLF SMH IWM,negative
Operating profit totalled EUR 302 mn EUR 438 mn year earlier,neutral
One installed elevator doubledeck elevator enables efficient use building core space,positive
HELSINKI AFX Outokumpu said agreed sell Hitura nickel mine Finland Canadian group Belvedere Resources Ltd 10 mln eur worth Belvedere share,neutral
went long ILMN,positive
Social networking locationbased service trend comprise significant share Internet traffic today appealing MID user,neutral
total 30 order value booked fourth quarter 2009 remainder booked second quarter 2010,neutral
Johnson Matthey share price slump company post fullyear result,negative
previous share subscription 2004 stock option,neutral
AffectoGenimap build highly customised solution customer Finland Baltic country,neutral
closing transaction scheduled take place January 10 2008,neutral
However offering probably made current valuation partly derives deal company merged stock market shell,neutral
Operating result 12month period decreased profit EUR0 4 turnover decreased EUR5 6 compared 2004,neutral
administrator indicated need 900 job cut Irish insurer next 15 month,neutral
Net sale 2008 expected level 2007,neutral
Technical indicator stock bullish SP give NOK positive 4 STARS 5 buy ranking,positive
Revenue quarter totaled 274 billion 2 percent 281 billion fourth quarter 2008,negative
NViro operates processing facility independently well partnership municipality,neutral
number bodily injury case quadrupled 20002006,negative
According Ringman Finnish paper company acquired knowhow capacity paper recycling turned successful strategy,positive
company also said Poland profitability program launched Oborniki steel frame sandwich panel plant,positive
US energy executive say high steel price threatening energy exploration,negative
Tesco sale rise show tentative recovery continues,positive
Finland launch tiein sale 3G mobile phone cause dramatic rush mobile retail outlet first day,neutral
NUAN held well big gain Maybe finally move thisits still undervalued major upside,positive
company split two part coming month Essent owning operating production supply Enexis owning operating grid,neutral
Officials disclose contract value,neutral
London leading share today jumped almost 100 point 17 market opened,positive
third quarter fiscal 2008 Efore swung net loss EUR 400000 versus net profit EUR 200000 corresponding period fiscal 2007,neutral
group operating loss EUR 08 mn profit EUR 25 mn 2004,neutral
move triggered weak demand forestry equipment uncertain market situation,negative
combined company proforma net sale 140 mln euro 1889 mln operating profit 13 mln euro 175 mln 2006,neutral
Managing Director Kari Inkinen say Sponda leasing operation developed highly favourably,positive
17 March 2011 Goldman Sachs estimate negative prospect Norwegian mobile operation Norway Telenor ASA OSL TEL Sweden TeliaSonera AB STO TLSN short term,negative
TSLA steaming stock relentless moment,positive
Marathon estimate value remaining stake Protalix 27 million,neutral
Whitbread share price climb Q4 sale growth,positive
Incap Contract Manufacturing subsidiary Incap Corporation Finland,neutral
Operating profit totaled EUR 377 mn slightly EUR 372 mn corresponding period 2006,positive
went market yield guidance 725 area gave u flexibility go 18th,neutral
RT stockdemons think shorting close might play SPY high beta reversinglooks worth shot,negative
VDW combined LXE device enhances productivity enabling worker use single device perform voice scanning keyboard function,positive
Thus method cut working cost fasten planning building process,positive
Talentum net sale September smaller expected,negative
COPYRIGHT AFX News AFX Financial News Logo registered trademark AFX News Limited,neutral
LNKD Daily Phase 2 retest Price experiencing early rejection retest httpstkscot04xX,negative
RBS reportedly appoint Howard Davies next chairman,neutral
Tesco Asda sale fall march discounter continuesKantar,negative
new version important u introduce BIM process based detailed building information model,neutral
SAMPO PLC Jarmo Salonen Head Investor Relations Group Communications tel 358 10 516 0030 Distribution NASDAQ OMX Helsinki principal medium Financial Supervisory Authority wwwsampocom announcement distributed Thomson Reuters behalf Thomson Reuters client,neutral
barronsonline see Apple 150share year 36 today growing service business AAPL httpstco3BDNEKN7l1,positive
Pharmaceutical market Poland Global Research Data Services published recently market analysis pharmaceutical market Poland,neutral
Altogether Finnair canceled 500 flight strike,negative
employer together health personnel support quitting pay part cost nicotine treatment,neutral
Pretax loss totaled EUR 117mn compared loss EUR 65mn corresponding period,neutral
order includes 48 ship crane delivered 12 container feeder built Wenchong shipyard China,neutral
Copper lead nickel also dropped HBOS HBOS plummeted 20 703 penny saying year,neutral
GOOG Testing 200 day consolidation httpstkscoh0cPJ,positive
join Technopolis KONE held various position within Group recently Director Service Business Business Development KONE Middle Eastern operation,neutral
succeeded increasing market share sold apartment comment Mr Kari Kauniskangas Head YIT International Construction Services,positive
Profitability EBIT 139 compared 131 previousyear period,positive
Finnish GeoSentric net sale decreased EUR 939000 JanuaryMarch 2009,neutral
plant scheduled completion late February 2007 hand area January Two supplier Nokia Aspocomp Group Oyj Perlos announced plan establish plant within Nokia complex Together invest Rs 365 crore,neutral
UPMKymmene upgraded inline underperform Goldman Sachs,positive
Slump Weir lead FTSE record high,negative
Jan 6 Ford struggling face slowing truck SUV sale surfeit uptodate gottahave car,neutral
Royal Mail breached competition law delivery service change Ofcom claim,negative
cooperation involve Arena Partners buying 35 share new joint venture company operating Alma Media home sale vehicle consumer advertising marketplace business,neutral
Efore plant Saarijarvi central Finland one largest employer region,neutral
However shortterm rental becoming popular,neutral
EMSA Deputy Chairman Board Juri Lember told BNS Wednesday first time heard strike Swedish side informed Estonian union yet,neutral
Tesco close new chairman Dixons Carphones John Allan frame,positive
device offer multimedia performance along host productivity application including live stock price,neutral
Sales climbed 192 pct 1002 bln eur surpassing 953 mln eur consensus figure,positive
FB turn back early trading httpstcoreuf5PzhBm,negative
Utah capital wanted next US headquarters Amer Sports Corp skiequipment company,neutral
Old Mutual FirstQuarter Sales 18 Buoyed Emerging Markets,positive
dividend payable February 1 2010 shareholder record January 19 2010,neutral
Sales Finland decreased 105 January sale outside Finland dropped 17,negative
Furthermore Bunge also sign licensing agreement Sunnuntai Carlshamn Mejeri brand,positive
KESKO CORPORATION STOCK EXCHANGE RELEASE 28022008 0930 1 1 Kesko Corporation Aspo plc today signed agreement Aspo acquires share capital KaukoTelko Ltd subsidiary wholly owned Kesko,positive
LULU Outlook Q1 2013 lost revenue range 12 million 17 million good,negative
Mobile communication wireless broadband provider Nokia Inc NYSE NOK today set new financial target forecast Nokia mobile device industry also Nokia Siemens Networks mobile fixed infrastructure related service market,neutral
POYRY PLC Additional information Heikki Malinen President CEO Poyry PLC tel 358 10 33 21307 Poyry global expert consulting engineering,neutral
Danish company FLSmidth acknowledged violated patent held Finnish Metso,neutral
Amanda Capital investment 22 private equity fund 200 unquoted company mainly Europe,neutral
Net interest income EUR 393 mn EUR 327 mn,positive
Jeder BetaTester erhlt kostenlos sechs Monate lang Updates und hat laut eigener Aussage die Mglichkeit die finale Version zu beeinflussen,neutral
JP Morgan expects Scala lower Nobel Biocare growth forecast 2007 current guidance 2325 pct well operating margin target current 3435 pct,neutral
Aviva promise higher dividend boost flagging share price,positive
addition MIDs always online enable full Internet browsing,neutral
Fiskars strong portfolio international brand include Fiskars Iittala Gerber Silva Buster,positive
Tesla Model X Recall Adds Reliability Issues TSLA httpstcojVXQ4DoXnP,negative
name buyer disclosed,neutral
Net sale Vegetable Oil Business rose EUR 106 mn EUR 101 mn,positive
agreement Benefon forthcoming range TWIG integrated GPS navigation mobile phone device use jointly developed webbased tracking location technology consumer commercial application,neutral
Following increase Huhtamaki registered share capital EUR360 62 number share outstanding 106063320,neutral
three year turnaround program expected ensure Salomon future competitiveness company said,positive
autumn plan expand service St Petersburg Moscow launch service Yekaterinburg Russia flying three time week,positive
company profit totaled Ls 578100 H1 2007 309 yearonyear,negative
Federal Secretary Transport Communication Mexico awarded Poyry Mexican partner Sintra consulting contract connection BuenavistaCuautitlan suburban railway,positive
FDA approves AstraZeneca drug advanced lung cancer,positive
order included Metso fourth quarter 2007 order backlog,neutral
Lieksaare Oy earlier regarded control Saarelainen Oy individual shareholder shareholder agreement,neutral
Ragutis controlled Finnish brewery reported 54percent rise beer sale 1044 million litre held 1109percent market share,positive
mcp rolling new intraday low Bottom Pickers continue get destroyed,negative
company annual turnover EUR32 8,neutral
has80 branch Finland annual revenue Finland,neutral
portfolio comprises 118000 m2 leasable space vacancy rate roughly 5 let around 140 tenant two largest Swedish government Ericsson,neutral
WPP boost sale despite cautious client,positive
mediumterm operative target company remain unchanged,neutral
ADP News Feb 13 2009 Finnish retailer Kesko Oyj HEL KESBV said today total sale excluding value added tax VAT stood EUR 6613 million USD 8531 January 2009 152 yearonyea,negative
Consumers well received packed fresh meat,positive
corrected chapter entirety,neutral
major part delivery include different AC CXE amplifier solution product DINH Telecom company acquired Teleste last spring,neutral
TietoEnator us Nokia Intellisync Mobile Suite wireless email calendar device management capability company extend service customer,positive
provide heating form hot water sawmill need,neutral
However net sale declined EUR 8036 million EUR 12 billion,negative
second quarter 2010 Raute net loss narrowed EUR 123000 EUR 15 million period 2009,positive
DGI technical alert Gilligans Island Buy Setup Stochastic Buy Signal Lizard Bullish Hammer Candlestick Wid httpstkscoc29Nu,positive
record date dividend distribution March 14 2008,neutral
IH move enhance growth,positive
EBRD using fund provide 216 million loan B portion 10 million Euros syndicated two Finnish commercial bank Nordea Bank Finland Plc 77 million Euros Pohjola Bank Plc 23 million Euros,neutral
Stockholm 3 March 2011 Cybercom Cybercom Group hightech consultancy offer global sourcing endtoend solution,neutral
said losing five family month economy many make alternative arrangement save money,negative
MILAN AFX Italian shipping group Grimaldi increased stake Finnish company Finnlines 354 pct 305 pct held June according news agency ANSA,neutral
Commenting deal Shane Lennon SVP Marketing Product Development GyPSii said,neutral
External net sale printing business fell 437 partly due termination printing contract IlkkaYhtyma printing house Iprint Oy sector player HSS Media AB December 2009 fall printing price,neutral
group intends relocate warehouse office space Loudeac Saint Marcel Morvillars east country already operates hook manufacturing distribution unit,neutral
firm headquartered Vantaa southern Finland 16 employee,neutral
133 pm OMX Helsinki 25 030 pct lower 246367 OMX Helsinki 037 pct 853742 volume 256 mln eur,neutral
honored recognized Gartner specialist Business Process Modeling Analysis company many largest software vendor world,positive
Westpac Banking Corp issue benchmark 3 year FRN deal Euros,neutral
Includes company brand share data category well distribution channel data,neutral
new share subscribed stock option shareholder right commence date entered Trade Register,neutral
AAPL price momentum weakening going close,negative
acquisition Solteq expand solution offering Microsoft Dynamics business software product,positive
company profit totaled Ls 134700,neutral
LEED internationally recognized green building certification system developed US Green Building Council,neutral
However market share shrank 4759 per cent 48 per cent year earlier,negative
TalkTalk hire BAE Systems investigate cyber attack,negative
Looks like booking one way ticket 40 week near 50 Losing 10 week LULU httpchartly7xb9h9b,neutral
FTSE led lower MS GlaxoSmithKline,negative
exercise price option based Safran Software Solutions license maintenance sale well result company,neutral
Fullyear operating result 2008 36 million negative,negative
company said production volume far indicate circuit capable targeted output rate 60000 tonne per day 22 million tonne year,neutral
Jun 25 2008 Boy Genius Report delivered Newstex Nokia NYSE NOK N78 huh,neutral
come decision based preliminary economic operational environmental finding Karvinen said,neutral
new majority owner Aspocomp Thailand Co Ltd certain private person belonging immediate circle Aspocomp present Joint Venture partner Saha Pathana InterHolding Plc,neutral
38 mln euro 52 mln base acquisition price paid cash rest subscription offering total 850000 new Ixonos share,neutral
Established 1987 SRV Group private Finnish construction concern operation Finland Baltic country Russia,neutral
business section also includes Ahlstrom sustainability report,neutral
lemiste City environment knowledgebased economy providing work 3300 people total turnover company amounting EEK 54 bn said lo Prnits chairman supervisory board lemiste City Mainor,neutral
Jacobs supporting Storengy investment developing storage site since 2006 owner engineer,neutral
company earlier said considering different strategic option struggling lowcost mobile operator including divestment holding,neutral
Sainsburys Asda Tesco Morrisons cut petrol price oil fall,negative
Barclays sell benchmark index unit Bloomberg,positive
Operating profit fourth quarter fell EUR33m EUR39m year earlier,neutral
Finnish forestry company UPMKymmene waste management company Lassila Tikanoja said Jan 30 planning produce ethanol energy commercial industrial waste,neutral
ISMS disclose financial result daily said,neutral
contract cover manufacturing surfacetreatment installation steel structure,neutral
Finnish metal industry solution supplier Outotec Oyj net profit rose 504 mln euro 725 mln first nine month 2007 201 mln euro 289 mln period 2006,positive
deal Know pay SEK90m USD12 8 mEUR8 6 cash stock,neutral
first nine month 2010 company net profit rose EUR41m EUR30m corresponding period 2009,positive
AAPL 50DMA turned MACD crossover halfahair away weekly EOD break likely,positive
Protalix 42 million cash sale,neutral
bearish outside day Tuesday significant 200 day resistance still intact opinion SDS httpchartly2bey48t,negative
right reserved,neutral
operated Nokia supported Nokia NetAct network service management system,neutral
Mr Priit Kasak Balti Metsamasina owner said Rakverebased company wish increase Valmet market share 27 third couple year,positive
Shire Sees Baxalta Deal Closing Expected New Rules,positive
Sainsbury CFO Rogers Replace Home Retail CEO Walden,neutral
Marathon 46 percent stake PLX said according Bloomberg,neutral
Simmons Elected DCUC Chairman PORTSMOUTH NHGordon Simmons CEO Service Credit Union elected chairman Defense Credit Union Council 20072008 term,neutral
