Sentence,Sentiment
The companies  aim is to finalize the negotiations and sign the contracts at the start of October 2008 ,neutral
Metso Foundries Jyvaskyla Oy will discontinue production on this line by 30 September 2008  the company said ,neutral
A total six of the polled analysts rated Mreal  two gave  buy    accumulate   three gave  hold  and only one gave  sell  ,neutral
In September 2010  the Finnish group agreed to buy Danish company Rose Poultry AS for up to EUR23 9 m in a combination of cash and stock ,positive
YANG Double bottom 52,positive
Tesco share price down as grocer faces SFO investigation outcome,negative
aapl news is becoming very bullish again httpstkscotMU,positive
GS Engineering will install the valves at a liquefied natural gas LNG plant it has built for UAE LNG extraction and gas plants operator GASCO in Ruwais  UAE ,neutral
The percentages of shares and voting rights have been calculated in proportion to the total number of shares registered with the Trade Register and the total number of voting rights related to them ,neutral
MReal said there are  no grounds  for the rumors  which  have been circulating in the market for some months  ,neutral
Lember said the matter was topical also in Estonia  where a bill has been drafted at the Social Affairs Ministry that would scrap oldage pensions on favorable conditions ,neutral
 Moody s said it gave P A1 longterm senior unsecured and P P1 shortterm debt ratings to Finnish lender Aktia Bank s EUR1bn USD1 4 bn euro mediumterm note EMTN program of 25 March 2011 ,neutral
TSLA recall,negative
The liquidity providing was interrupted on May 11  2007 when Aspocomp Group Oyj s shares traded below 050 cent  Aspocomp s stock exchange release 1152007  ,neutral
Hargreaves Lansdown bucks weak markets to see assets rise 26 percent,positive
At 1259 pm  the OMX Helsinki 25 index was 032 pct lower at 269481 ,negative
The decision means temporary layoffs of fixed duration at the company s Nastola and Jyvaskyla units  in southern and central Finland  respectively ,neutral
The value of the orders is over EUR 10mn ,neutral
Ms Laakso will be responsible for HKScan s HR functions and for their development in all of the Group  smarket areas ,neutral
Fiskars is also engaged in the global supply of marine and energy equipment solutions and services through its associated company  Wartsila Corporation ,neutral
Aberdeen Asset Management Gains Foothold In China,positive
Finland s dominating rail company VR is planning to set the infected passengers for longdistance trip in a separate carriage ,neutral
In November  the Finnish government decreased its ownership in the company further to 311 percent from 38 percent ,neutral
Finnish Exel Composites  a technology company that designs  manufactures  and markets composite profiles and tubes for various industrial applications  reports its net sales decreased by 06  in the second quarter of 2010 to EUR 192 mn from EUR 193 mn in the corresponding period in 2009 ,neutral
Of Bavelloni s and NST s joint ventures  Bavelloni Tools  completes semiproducts that are produced in Italy into highquality tools that will be sold under the DiaPol brand ,neutral
The tool is a patent pending design that allows consumers to lay out their entire project on a removable plate using multiple clear stamps of any kind ,neutral
GOOGL is a short below 740 into the upper BB and is overbought,negative
LIGHTS OUT Before curfew  curl up with the latest bestseller and treat your eyes to the perfect reading light from Luceplan ,neutral
UPMKymmene Corp  the world s largest maker of magazine paper  on Tuesday reported a 19percent profit drop as lower paper prices  higher costs and a strong euro hurt revenue ,negative
The total value of the contract is some EUR 8 million ,neutral
The prerequisite for inclusion in the program and for receipt of any gains is that key employees acquire Aspo shares to the amount determined by the Board in advance  in the maximum ,neutral
Mr Doring has been with Eaton since 1989 and acted as the Business Unit Manager for Eaton s Power Controls Business Unit since January 2007 ,neutral
The 250 sq m 2691 sq ft store in Copenhagen s premier shopping district was inaugurated today  further strengthening the company s presence in Nordic capitals ,positive
In the financial statement for the first quarter of 2010  Tikkurila is reported under discontinued operations ,neutral
The world s second largest stainless steel maker said net profit in the threemonth period until Dec 31 surged to euro603 million US 781 million  or euro3 33 US 431 per share  from euro172 million  or euro0 94 per share  the previous year ,positive
Name of Applicant  Jot Automation OYName of Inventor  Mammila Tuomo  Piirainen Mika and Kellokoski MikaApplication No  2424KOLNP2008 ADate of filing of Application  16062008Publication Date  30012009,neutral
Netflix Grows Efforts To Create Loyal Customers NFLX httpstco5QXBkoBphe,positive
The OMX Nordic 40 OMXN40 index  comprising the 40 most traded Nordic stocks on the Nasdaq OMX exchange  closed down 087  at 106414 points on Thursday ,negative
AAPL nibbling on a small long via 525 buying off 13min charts,positive
The operating margin of Aker Yards Cruise  Ferries division went down from 83  to 64  in the first quarter of 2007 ,negative
TYC just about to break out to new highs lots of technicals looking great right now,positive
Eero Katajavuori  currently Group Vice President  Human Resources  will take a yearlong sabbatical starting from October 1  2010 ,neutral
Whats up with LULU  Numbers looked good not great but good  I think conference call will instill confidence,neutral
The adjustment measures will be carried out in phases to secure the delivery capability ,neutral
Alma Media Corporation Press Release 15 March 2010 TYRVAAN SANOMAT AND PAIKALLISSANOMAT BEING BOUGHT BY SUOMEN PAIKALLISSANOMAT Two local papers  Tyrvaan Sanomat and Paikallissanomat  appearing in Sastamala and its neighbouring municipalities  are to be bought by Suomen Paikallissanomat Oy ,neutral
Temporary layoffs  affecting the entire workforce  will also be implemented ,negative
A meeting for the media and analysts will be held on the same day at 1030 am at Stonesoft Headquarters in Helsinki  Italahdenkatu 22 A The Interim report will be presented by Stonesoft s CEO Ilkka Hiidenheimo ,neutral
Finnish SampoRosenlew manufactures approximately seven forest machines monthly  and about half of machines are exported ,neutral
Facebook near a buy point last week faces a different technical test today httpstcoc72LLMpiNM FB AAPL NFLX httpstcofPFbYTYPuY,positive
4 February 2011  Finnish broadband data communication systems provider Teleste Oyj HEL  TLT1V said Wednesday its net profit rocketed to EUR4 8 m in 2010 from EUR416 000 in 2009 and it lifted its dividend proposal ,positive
FREE Ha Heeeeeere comes the pump So glad I picked up 9K end of day Get ready for the bull ride,positive
Finnish technology group Aspocomp Group Oyj  OMX Helsinki  ACG1V  issued its third quarter report on Thursday  13 November   posting an operating profit of EUR0 4 m  as compared to a loss of EUR0 5 m in the third quarter of 2007 ,positive
The building complex consists of highquality office and retail space totalling 49200 square metres  the company said ,neutral
Finnish insurance company Fennia and Kesko Group are ending their loyal customer cooperation ,neutral
The unit is planned to be operational during the second half of 2007 and in full stream in 2008 ,neutral
ITG s share in the deal is estimated at some 500000 euro  627000 ,neutral
The plant is expected to enter commercial operation by mid2009 ,neutral
Aspo has also investigated the sales opportunities of Kaukomarkkinat s electronics business ,neutral
BG Group appoints new CEO one month early,neutral
The acquisition will have an immediate positive impact on Aspocomp s financial result ,positive
Finnair s passenger load factor  which measures the number of sold seats as a share of all available seats  dropped by 13 percentage points to 767  in September ,negative
RT bman1 LNG looks primed also EGHT poised to run too,positive
It is also 77 pct above the 12month volume weighted average price of the stock ,positive
Coke dividend  3 Google dividend  0 For passive income Coke takes it GOOG KO httpstcoQBsoWjxOST,neutral
Profit before taxes was EUR 54 mn  up from EUR 36 mn a year earlier ,positive
The subsidiary is setting up a facility for manufacturing highdensity interconnection printed circuit boards or PCBs at Nokia s special economic zone at Sriperumbudur near Chennai ,neutral
CRM Sep 40 calls are 35 since entry BANG httpstkscodeDm,positive
In JanuaryJune 2010  diluted loss per share stood at EUR0 3 versus EUR0 1 in the first half of 2009 ,negative
Rapala said it estimates it will make savings of 12 mln eur a year by centralising its French operations at one site ,positive
VMW  Got a nice push today following small sweepers of May C this morning,positive
That topped consensus forecasts for earnings of 021 euros a share ,positive
RD Loan  ,neutral
In future  the company intends to look for knowhow from outside the company and to cooperate with other actors in the sector ,positive
You need to be ready when the window opens up  Rosberg said ,neutral
More than 50000 tonnes of asphalt mix will be used in the contract ,neutral
PA   JPMorgan Chase and Co  NYSE  JPM  and Pohjoa Bank are joint leadmanagers on the senior  unsecured deal ,neutral
CTRP  breaking out here on good vol and a parser buy signal  noticed this on bob langs comments looking for 48 fast,positive
Sales in Finland decreased by 105  in January  while sales outside Finland dropped by 17  ,neutral
The pulp production in Finnish Kemijrvi will also be liquidated and about 1100 employees loose their jobs ,negative
Nordea was the cheapest also for a couple in their 30s with debt ,neutral
Jussi Pesonen  member of the Sampo Board since 2006  will renounce his seat in Sampo Board ,neutral
Tesla is recalling 2700 Model X cars httpstco8Z7BkVsTl9 TSLA,negative
Adjusted for changes in the Group structure  the Division s net sales increased by 17  ,positive
Making matters more difficult  the company said it has been grappling with higher oil and gas prices  which have pushed up the cost of energy  raw materials and transportation ,neutral
The amending of the proposal simplifies the proposed plan and increases the incentive for key employees to stay in the Company ,positive
The solution will now be expanded to include all ground staff tasks ,neutral
Operating loss totalled EUR 32 mn  compared to a profit of EUR 72 mn in the third quarter of 2008 ,negative
On FEDDAY looking for a sharp move up in equities AAPL HD LOW FB seeing UVXY TVIX getting hammered even though market is down,positive
Net sales totaled EUR 936 mn  up from EUR 932 mn in the corresponding period in 2005 ,positive
As a consequence the Works Council had withdrawn its petition to suspend the reorganisation ,neutral
CEO Erkki Jrvinen is happy with the company s performance in 2010 ,positive
Comparable net sales are expected to increase more than 10  in 2008  in line with group target ,positive
Following the transaction  Lundbeck has worldwide rights for nalmefene  excluding North America  Mexico  Turkey and SouthKorea ,positive
The government started the selloff last month  putting an 8 percent stake in TeliaSonera on the auction bloc ,neutral
The report goes on to provide detailed profiles of ten leading European specialty chemicals companies  and brief profiles of other major players ,neutral
Both operating profit and net sales for the threemonth period increased  respectively from EUR16 0 m and EUR139m  as compared to the corresponding quarter in 2006 ,positive
The company expects its net sales for the whole 2009 to be at previous year levels ,neutral
The company is headquartered in Sievi  Finland  and is listed on the Nordic Exchange in Helsinki ,neutral
Commission income increased by 22  to EUR 44 mn  and lending volume rose by 135  ,positive
The Finnish company sold its UK operation  consisting of 50 staff in offices in London  Birmingham and Manchester  as part of a deal with Hampden in July 2001 for its Europeanwide property and casualty arm Sampo Industrial ,neutral
In the building and home improvement trade  sales decreased by 225  to EUR 2014 mn ,negative
The Innova 2 building will be located close to downtown  in the immediate vicinity of Paviljonki and the travel center  and within walking distance from the heart of the city thanks to the trade fair bridge ,neutral
Finnish textiles and clothing group Marimekko Oyj posted a net profit of 799 mln euro  104 mln for 2006  compared to 84 mln euro  109 mln for 2005 ,neutral
The main strength of the cooperation project lies in merging the knowhow of two large companies ,positive
Shareholders have a right to put on the agenda of the AGM items that are within the competence of the general meeting ,neutral
Kazgiprotsvetmet and Outotec Finland have signed an agreement on strategic cooperation in the marketing and providing of minerals processing and metallurgical plants and related services in Kazakhstan and the surrounding countries ,positive
Due to the rapid decrease in net sales  personnel reductions have been carried out on a wider scale than initially expected ,neutral
The government has instead proposed an exchange of the state s stake in LMT to TeliaSonera s stake in Lattelecom ,neutral
Stora is due to release its fourthquarter and 2009 fullyear earnings on Feb 4 ,neutral
Fullyear operating result for 2008 was 36 million negative ,neutral
NQ got hit hard lower this AM  looks like it has found support a 1889 httpstkscos052z,negative
In 2008  AVC Systemhaus had net sales of EUR 10 million USD 71 m ,neutral
The company has established a 3G base station at about 17000 feet at the foot of Mount Everest that will enable mountain climbers at the 29035foot summit to surf the Internet and even send videos of their exploits ,positive
We offer our customers solutions based on renewable raw materials ,neutral
A survey conducted by Taloustutkimus for Sampo Life shows that companies are badly prepared to losing key staff members ,neutral
Antti Orkola  president of Kemira GrowHow s Industrial Solutions unit  told Thomson Financial News the company has put off opening the mine as prices of phosphate have been  quite depressed for a long time   ,neutral
The pretax profit of the group s life insurance business increased to EUR36m from EUR27m ,positive
We make available the following brandnew market analyses Cement  Pakistan Cement  Malaysia Cement  Taiwan Cement  Philippines These analyses give a clear overview of the actual situation and future outlook of the cement industry in some Asian countries ,neutral
The Company serves approximately 3000 customers in over 100 countries ,neutral
RT alphatrends VMarkets Are Still Acting Weak httpstksco1agn  SPY QQQ XLF SMH IWM,negative
Operating profit totalled EUR 302 mn  down from EUR 438 mn a year earlier ,neutral
One of the installed elevators will be a doubledeck elevator  which enables more efficient use of the building s core space ,positive
HELSINKI  AFX   Outokumpu said it has agreed to sell the Hitura nickel mine in Finland to Canadian group Belvedere Resources Ltd for 10 mln eur worth of Belvedere shares ,neutral
Just went long ILMN,positive
 Social networking and locationbased service trends comprise a significant share of the Internet traffic today and are appealing to MID users ,neutral
A total 30  of the order value was booked in the fourth quarter of 2009 and the remainder will be booked in the second quarter of 2010 ,neutral
Johnson Matthey share price slumps as company posts fullyear results,negative
There have not been previous share subscriptions with 2004 stock options ,neutral
AffectoGenimap builds highly customised IT solutions for its customers in Finland and the Baltic countries ,neutral
The closing of the transaction is scheduled to take place on January 10  2008 ,neutral
However  the offering will probably not be made at the current valuation  which partly derives from the deal in which the company was merged into a stock market shell ,neutral
Operating result for the 12month period decreased from the profit of EUR0 4 m while turnover decreased from EUR5 6 m  as compared to 2004 ,neutral
The administrators have indicated a need for 900 job cuts at the Irish insurer over the next 15 months ,neutral
Net sales in 2008 are expected to be on the same level as in 2007 ,neutral
Technical indicators for the stock are bullish and SP gives NOK a positive 4 STARS out of 5 buy ranking ,positive
Revenue for the quarter totaled 274 billion  down 2 percent from 281 billion in the fourth quarter in 2008 ,negative
NViro operates processing facilities independently as well as in partnership with municipalities ,neutral
The number of bodily injury cases quadrupled in 20002006 ,negative
According to Ringman  Finnish paper companies have acquired knowhow and capacity in paper recycling  which has turned out to be a successful strategy ,positive
The company also said that in Poland a profitability program has been launched at the Oborniki steel frame and sandwich panel plant ,positive
And US energy executives say high steel prices are threatening energy exploration ,negative
Tesco sales rise shows tentative recovery continues,positive
In Finland  the launch of tiein sales of 3G mobile phones did not cause a dramatic rush in mobile retail outlets during the first few days ,neutral
NUAN held up well after the big gains Maybe were finally on the move on thisits still very undervalued and has major upside,positive
The company can be split into two parts over the coming months  with Essent owning and operating production and supply  and Enexis owning and operating the grid ,neutral
Officials did not disclose the contract value ,neutral
London s leading shares today jumped almost 100 points  or 17   as the market opened ,positive
In the third quarter of fiscal 2008 Efore swung to a net loss of EUR 400000 versus a net profit of EUR 200000 for the corresponding period of fiscal 2007 ,neutral
The group s operating loss was EUR 08 mn  down from a profit of EUR 25 mn in 2004 ,neutral
The move was triggered by weak demand for forestry equipment and the uncertain market situation ,negative
The combined company had proforma net sales of 140 mln euro  1889 mln and an operating profit of 13 mln euro  175 mln for 2006 ,neutral
Managing Director Kari Inkinen says that Sponda s leasing operations developed highly favourably ,positive
17 March 2011  Goldman Sachs estimates that there are negative prospects for the Norwegian mobile operations of Norway s Telenor ASA OSL  TEL and Sweden s TeliaSonera AB STO  TLSN in the short term ,negative
TSLA steaming up again this stock is relentless at the moment,positive
Marathon estimates the value of its remaining stake in Protalix at  27 million ,neutral
Whitbread share price climbs on Q4 sales growth,positive
Incap Contract Manufacturing is a subsidiary of Incap Corporation of Finland ,neutral
Operating profit totaled EUR 377 mn  up slightly from EUR 372 mn in the corresponding period in 2006 ,positive
We went to the market with yield guidance of the 725  area  which gave us the flexibility to go up or down by 18th ,neutral
RT stockdemons think shorting here into close might be play SPY  high beta reversinglooks worth a shot,negative
VDW combined with LXE devices enhances productivity  enabling workers to use a single device to perform voice  scanning and keyboard functions ,positive
Thus the method will cut working costs  and will fasten the planning and building processes ,positive
Talentum s net sales in September were smaller than expected ,negative
COPYRIGHT AFX News and AFX Financial News Logo are registered trademarks of AFX News Limited,neutral
LNKD Daily Phase 2 retest  Price experiencing early rejection Can it retest httpstkscot04xX,negative
RBS will reportedly appoint Howard Davies as its next chairman,neutral
Tesco Asda sales fall as march of the discounters continuesKantar,negative
 With this new version it is very important for us to introduce a BIM process that is based on the detailed building information model ,neutral
SAMPO PLC Jarmo Salonen Head of Investor Relations and Group Communications tel 358 10 516 0030 Distribution  NASDAQ OMX Helsinki The principal media Financial Supervisory Authority wwwsampocom This announcement is distributed by Thomson Reuters on behalf of Thomson Reuters clients ,neutral
barronsonline sees Apple at 150share in a year 36 from today on growing services business AAPL httpstco3BDNEKN7l1,positive
Pharmaceutical market in Poland Global Research  Data Services published recently a market analysis about the pharmaceutical markets in Poland ,neutral
Altogether Finnair has canceled over 500 flights because of the strike ,negative
The employer  together with health personnel  supports quitting and pays part of the cost of nicotine treatments ,neutral
Pretax loss totaled EUR 117mn compared to a loss of EUR 65mn in the corresponding period ,neutral
The order includes 48 ship cranes that will be delivered for 12 container feeders to be built at Wenchong shipyard in China ,neutral
Copper  lead and nickel also dropped  HBOS  HBOS  plummeted 20  to 703 pence after saying this year ,neutral
GOOG Testing the 200 day after some consolidation httpstkscoh0cPJ,positive
He joins Technopolis from KONE where he has held various positions within the Group  most recently as Director of Service Business and Business Development for KONE s Middle Eastern operations ,neutral
We succeeded in increasing our market share of sold apartment   comments Mr Kari Kauniskangas  Head of YIT International Construction Services ,positive
Profitability  EBIT   was 139   compared to 131  in the previousyear period ,positive
Finnish GeoSentric s net sales decreased to EUR 939000 in JanuaryMarch 2009 ,neutral
The plant is scheduled for completion in late February 2007 with hand over of some areas in January Two other suppliers of Nokia  Aspocomp Group Oyj and Perlos  have announced their plans to establish plants within the Nokia complex Together  they will invest Rs 365 crore ,neutral
 UPMKymmene upgraded to  inline  from  underperform  by Goldman Sachs ,positive
Slump in Weir leads FTSE down from record high,negative
Jan 6  Ford is struggling in the face of slowing truck and SUV sales and a surfeit of uptodate  gottahave cars ,neutral
Royal Mail breached competition law over delivery service changes Ofcom claims,negative
The cooperation will involve Arena Partners buying a 35  share of the new joint venture company  operating in Alma Media s home sales  vehicle and consumer advertising marketplace businesses ,neutral
The Efore plant at Saarijarvi in central Finland is one of the largest employers in the region ,neutral
However shortterm rentals are becoming more popular ,neutral
EMSA Deputy Chairman of the Board Juri Lember told BNS on Wednesday that this was the first time he heard about the strike as the Swedish side had not informed the Estonian union yet ,neutral
Tesco closes in on new chairman with Dixons Carphones John Allan in the frame,positive
The device offers multimedia performance along with a host of productivity applications  including live stock prices ,neutral
Sales climbed 192 pct to 1002 bln eur  surpassing the 953 mln eur consensus figure ,positive
FB turns back down in early trading httpstcoreuf5PzhBm,negative
Utah s capital wanted to be the next US headquarters of Amer Sports Corp  a skiequipment company ,neutral
Old Mutual FirstQuarter Sales Up 18 Buoyed by Emerging Markets,positive
The dividend is payable on February 1  2010 to shareholders of record on January 19  2010 ,neutral
Sales in Finland decreased by 105  in January  while sales outside Finland dropped by 17  ,negative
Furthermore  Bunge will also sign a licensing agreement for the Sunnuntai and Carlshamn Mejeri brands ,positive
KESKO CORPORATION STOCK EXCHANGE RELEASE 28022008 AT 0930 1  1  Kesko Corporation and Aspo plc today signed an agreement by which Aspo acquires the share capital of KaukoTelko Ltd  a subsidiary wholly owned by Kesko ,positive
LULU Outlook Q1 2013 lost revenue in the range of 12 million to 17 million not good,negative
Mobile communication and wireless broadband provider Nokia Inc NYSE  NOK today set new financial targets and forecasts for Nokia and the mobile device industry and also for Nokia Siemens Networks and the mobile and fixed infrastructure and related services market ,neutral
POYRY PLC Additional information by  Heikki Malinen  President and CEO  Poyry PLC tel 358 10 33 21307 Poyry is a global expert in consulting and engineering ,neutral
Danish company FLSmidth has acknowledged that it has violated a patent held by Finnish Metso ,neutral
Amanda Capital has investments in 22 private equity funds and in over 200 unquoted companies mainly in Europe ,neutral
Net interest income was EUR 393 mn  up from EUR 327 mn ,positive
Jeder BetaTester erhlt kostenlos sechs Monate lang Updates und hat laut eigener Aussage die Mglichkeit  die finale Version zu beeinflussen ,neutral
JP Morgan expects that Scala will lower Nobel Biocare s growth forecast for 2007 from the current guidance of 2325 pct  as well as the operating margin target from the current 3435 pct ,neutral
Aviva promises higher dividends to boost flagging share price,positive
In addition  MIDs are always online and enable full Internet browsing ,neutral
Fiskars has a strong portfolio of international brands  which include Fiskars  Iittala  Gerber  Silva and Buster ,positive
Tesla Model X Recall Adds To Reliability Issues TSLA httpstcojVXQ4DoXnP,negative
The name of the buyer was not disclosed ,neutral
Net sales of the Vegetable Oil Business rose to EUR 106 mn from EUR 101 mn ,positive
Under the agreement Benefon s forthcoming range of TWIG integrated GPS navigation and mobile phone devices will use the jointly developed webbased tracking and location technology  in both consumer and commercial applications ,neutral
Following this increase Huhtamaki s registered share capital is EUR360 62 m and the number of shares outstanding is 106063320 ,neutral
The three year turnaround program is expected to ensure Salomon s future competitiveness  the company said ,positive
