Sentence,Sentiment,Tokens
stead based soft drink usual Teho energy drink made fresh water,neutral,"['stead', 'based', 'soft', 'drink', 'usual', 'Teho', 'energy', 'drink', 'made', 'fresh', 'water']"
company plan increase unit specialist staff several dozen depending market situation 2010,neutral,"['company', 'plan', 'increase', 'unit', 'specialist', 'staff', 'several', 'dozen', 'depending', 'market', 'situation', '2010']"
company closed last year turnover four million euro,neutral,"['company', 'closed', 'last', 'year', 'turnover', 'four', 'million', 'euro']"
Shire CEO step drive get Baxalta board talking,positive,"['Shire', 'CEO', 'step', 'drive', 'get', 'Baxalta', 'board', 'talking']"
Costco Premier Retail Dividend Play httpstcoFa5cnh2t0t COST,positive,"['Costco', 'Premier', 'Retail', 'Dividend', 'Play', 'httpstcoFa5cnh2t0t', 'COST']"
fivestorey ecoefficient building gross floor area 15000 sq also include apartment,neutral,"['fivestorey', 'ecoefficient', 'building', 'gross', 'floor', 'area', '15000', 'sq', 'also', 'include', 'apartment']"
first installment Cinema Series concludes profile Finnish inventor Olavi Linden whose personal artistic journey work Fiskars led dozen design award,neutral,"['first', 'installment', 'Cinema', 'Series', 'concludes', 'profile', 'Finnish', 'inventor', 'Olavi', 'Linden', 'whose', 'personal', 'artistic', 'journey', 'work', 'Fiskars', 'led', 'dozen', 'design', 'award']"
welcome,neutral,['welcome']
Stockmann Swedish sector company AB Lindex entered agreement September 30 2007 whereby Stockmann whollyowned subsidiary make public tender offer Lindex issued share,positive,"['Stockmann', 'Swedish', 'sector', 'company', 'AB', 'Lindex', 'entered', 'agreement', 'September', '30', '2007', 'whereby', 'Stockmann', 'whollyowned', 'subsidiary', 'make', 'public', 'tender', 'offer', 'Lindex', 'issued', 'share']"
HUHTAMAKI OYJ STOCK EXCHANGE RELEASE 1692008 1332 Huhtamaki Capital Markets Day institutional investor analyst held Espoo September 16 2008 starting 1330 pm Finnish time,neutral,"['HUHTAMAKI', 'OYJ', 'STOCK', 'EXCHANGE', 'RELEASE', '1692008', '1332', 'Huhtamaki', 'Capital', 'Markets', 'Day', 'institutional', 'investor', 'analyst', 'held', 'Espoo', 'September', '16', '2008', 'starting', '1330', 'pm', 'Finnish', 'time']"
pleased welcome Tapeks Noma Cramo group,positive,"['pleased', 'welcome', 'Tapeks', 'Noma', 'Cramo', 'group']"
Profit tax EUR 1059 827 million,neutral,"['Profit', 'tax', 'EUR', '1059', '827', 'million']"
Royal Dutch Shell Buy BG Group Nearly 70 Billion,positive,"['Royal', 'Dutch', 'Shell', 'Buy', 'BG', 'Group', 'Nearly', '70', 'Billion']"
FinancialWire tm press release service receives compensation news opinion distribution,neutral,"['FinancialWire', 'tm', 'press', 'release', 'service', 'receives', 'compensation', 'news', 'opinion', 'distribution']"
ASSA ABLOY Kaupthing Bank gave neutral recommendation share price target 174 crown 247 19 euro Swedish lock maker Assa Abloy AB,neutral,"['ASSA', 'ABLOY', 'Kaupthing', 'Bank', 'gave', 'neutral', 'recommendation', 'share', 'price', 'target', '174', 'crown', '247', '19', 'euro', 'Swedish', 'lock', 'maker', 'Assa', 'Abloy', 'AB']"
item included restructuring cost EUR1 6 year earlier EUR13 1 Diluted EPS stood EUR0 3 versus loss per share EUR 01,positive,"['item', 'included', 'restructuring', 'cost', 'EUR1', '6', 'year', 'earlier', 'EUR13', '1', 'Diluted', 'EPS', 'stood', 'EUR0', '3', 'versus', 'loss', 'per', 'share', 'EUR', '01']"
2005 bank posted net profit Lt 82 mn,neutral,"['2005', 'bank', 'posted', 'net', 'profit', 'Lt', '82', 'mn']"
AAPL afternoon selloff usual brutal get ready lose ton money,negative,"['AAPL', 'afternoon', 'selloff', 'usual', 'brutal', 'get', 'ready', 'lose', 'ton', 'money']"
TSLA recalling pretty much every single model X cnnbrk got short even work jump money trade,negative,"['TSLA', 'recalling', 'pretty', 'much', 'every', 'single', 'model', 'X', 'cnnbrk', 'got', 'short', 'even', 'work', 'jump', 'money', 'trade']"
Dolce Gabbana asked European Union declare Marimekko Corporation Unikko floral pattern trademark invalid continuing dispute two company,negative,"['Dolce', 'Gabbana', 'asked', 'European', 'Union', 'declare', 'Marimekko', 'Corporation', 'Unikko', 'floral', 'pattern', 'trademark', 'invalid', 'continuing', 'dispute', 'two', 'company']"
InterContinental Hotels firstquarter global room revenue lag estimate,negative,"['InterContinental', 'Hotels', 'firstquarter', 'global', 'room', 'revenue', 'lag', 'estimate']"
According Finnish pension insurance company Varma Varma recipient two third revenue earningsrelated pension cover competitive tendering Finland,positive,"['According', 'Finnish', 'pension', 'insurance', 'company', 'Varma', 'Varma', 'recipient', 'two', 'third', 'revenue', 'earningsrelated', 'pension', 'cover', 'competitive', 'tendering', 'Finland']"
portion 125 million recorded part winning prior patent dispute Finnish phone maker Nokia Oyj,positive,"['portion', '125', 'million', 'recorded', 'part', 'winning', 'prior', 'patent', 'dispute', 'Finnish', 'phone', 'maker', 'Nokia', 'Oyj']"
LG still paying price dividend cut crisis chief say,negative,"['LG', 'still', 'paying', 'price', 'dividend', 'cut', 'crisis', 'chief', 'say']"
volume investment two phase project estimated USD 300mn EUR 21503 mn,neutral,"['volume', 'investment', 'two', 'phase', 'project', 'estimated', 'USD', '300mn', 'EUR', '21503', 'mn']"
Russia accounted 9 Lagardere magazine division revenue EUR 11440 mn USD 14811 mn 2009 USA 18,neutral,"['Russia', 'accounted', '9', 'Lagardere', 'magazine', 'division', 'revenue', 'EUR', '11440', 'mn', 'USD', '14811', 'mn', '2009', 'USA', '18']"
company also estimate already carried investment lead increase net sale 2010 2009 reached EUR 1417 million,positive,"['company', 'also', 'estimate', 'already', 'carried', 'investment', 'lead', 'increase', 'net', 'sale', '2010', '2009', 'reached', 'EUR', '1417', 'million']"
Profit accounting period EUR 03 mn,neutral,"['Profit', 'accounting', 'period', 'EUR', '03', 'mn']"
six brewery recorded 52 percent growth domestic beer sale last year 27021 million liter 25688 million liter sold 2005,positive,"['six', 'brewery', 'recorded', '52', 'percent', 'growth', 'domestic', 'beer', 'sale', 'last', 'year', '27021', 'million', 'liter', '25688', 'million', 'liter', 'sold', '2005']"
AugustOctober 2010 company result tax totalled EUR 96 mn EUR 05 mn corresponding period 2009,positive,"['AugustOctober', '2010', 'company', 'result', 'tax', 'totalled', 'EUR', '96', 'mn', 'EUR', '05', 'mn', 'corresponding', 'period', '2009']"
Systeemitiimi sale project resource also strengthened director Paul Skogberg said,positive,"['Systeemitiimi', 'sale', 'project', 'resource', 'also', 'strengthened', 'director', 'Paul', 'Skogberg', 'said']"
Tesco share price jump Q3 sale top estimate,positive,"['Tesco', 'share', 'price', 'jump', 'Q3', 'sale', 'top', 'estimate']"
fine print,neutral,"['fine', 'print']"
price log clearly improved 2009 also price pulpwood gone,positive,"['price', 'log', 'clearly', 'improved', '2009', 'also', 'price', 'pulpwood', 'gone']"
Thus SysOpen Digia accordance Chapter 14 Section 21 Finnish Companies Act 2991978 734 obtained title share Sentera redeemed,neutral,"['Thus', 'SysOpen', 'Digia', 'accordance', 'Chapter', '14', 'Section', '21', 'Finnish', 'Companies', 'Act', '2991978', '734', 'obtained', 'title', 'share', 'Sentera', 'redeemed']"
Diluted earnings per share EPS fell EUR 063 EUR 171,neutral,"['Diluted', 'earnings', 'per', 'share', 'EPS', 'fell', 'EUR', '063', 'EUR', '171']"
337 pm Eastern time block 2400 contract changed hand bid price 045,neutral,"['337', 'pm', 'Eastern', 'time', 'block', '2400', 'contract', 'changed', 'hand', 'bid', 'price', '045']"
recent technology delivery include refinery technology Anrak Aluminium iron ore pelletizing plant Tata Steel iron ore sintering plant Bhushan Steel,neutral,"['recent', 'technology', 'delivery', 'include', 'refinery', 'technology', 'Anrak', 'Aluminium', 'iron', 'ore', 'pelletizing', 'plant', 'Tata', 'Steel', 'iron', 'ore', 'sintering', 'plant', 'Bhushan', 'Steel']"
VIPS similar pattern like beginning May u sell nowwill go much higher drop,positive,"['VIPS', 'similar', 'pattern', 'like', 'beginning', 'May', 'u', 'sell', 'nowwill', 'go', 'much', 'higher', 'drop']"
firm generated sale 187 mln eur 2005,neutral,"['firm', 'generated', 'sale', '187', 'mln', 'eur', '2005']"
Stora Enso also meeting labor authority Employment Economic Development Centres representative government order find solution,neutral,"['Stora', 'Enso', 'also', 'meeting', 'labor', 'authority', 'Employment', 'Economic', 'Development', 'Centres', 'representative', 'government', 'order', 'find', 'solution']"
AstraZeneca profit sale stalwart fade,negative,"['AstraZeneca', 'profit', 'sale', 'stalwart', 'fade']"
RT andrewnyquist Chartology Yahoo httpstksco1itr YHOO Crazy looking chart nearing breakout resistance line,positive,"['RT', 'andrewnyquist', 'Chartology', 'Yahoo', 'httpstksco1itr', 'YHOO', 'Crazy', 'looking', 'chart', 'nearing', 'breakout', 'resistance', 'line']"
bullish stock Twitter dip YHOO GDX GOOGL STZ GOLD EW VZ CELG SBUX SCTY httpstcoiuZJelfwt3,positive,"['bullish', 'stock', 'Twitter', 'dip', 'YHOO', 'GDX', 'GOOGL', 'STZ', 'GOLD', 'EW', 'VZ', 'CELG', 'SBUX', 'SCTY', 'httpstcoiuZJelfwt3']"
Finnish GeoSentric net sale decreased EUR 939000 JanuaryMarch 2009,negative,"['Finnish', 'GeoSentric', 'net', 'sale', 'decreased', 'EUR', '939000', 'JanuaryMarch', '2009']"
Cohen Steers Inc 5 534 626 share representing 4985 share capital voting right,neutral,"['Cohen', 'Steers', 'Inc', '5', '534', '626', 'share', 'representing', '4985', 'share', 'capital', 'voting', 'right']"
staff recruited Japan complement network close 50 service location 20 country worldwide,positive,"['staff', 'recruited', 'Japan', 'complement', 'network', 'close', '50', 'service', 'location', '20', 'country', 'worldwide']"
Paper company negative territory Stora Enso R shedding 162 pct 1273 eur UPMKymmene 080 pct 1864 eur Mreal B 018 pct lower 557 eur,neutral,"['Paper', 'company', 'negative', 'territory', 'Stora', 'Enso', 'R', 'shedding', '162', 'pct', '1273', 'eur', 'UPMKymmene', '080', 'pct', '1864', 'eur', 'Mreal', 'B', '018', 'pct', 'lower', '557', 'eur']"
KaukoTelko centralized administration dissolved appropriate part transferred operating activity Group administration end year,neutral,"['KaukoTelko', 'centralized', 'administration', 'dissolved', 'appropriate', 'part', 'transferred', 'operating', 'activity', 'Group', 'administration', 'end', 'year']"
Operating profit quarter AprilJune 2006 amounted EUR182 2 sale EUR3 62 bn,neutral,"['Operating', 'profit', 'quarter', 'AprilJune', '2006', 'amounted', 'EUR182', '2', 'sale', 'EUR3', '62', 'bn']"
Atria chose DeLight attract consumer 2545 age group Atria Fresh range microwaveable meal,neutral,"['Atria', 'chose', 'DeLight', 'attract', 'consumer', '2545', 'age', 'group', 'Atria', 'Fresh', 'range', 'microwaveable', 'meal']"
Finnish solution provider Affecto Oyj HEL AFE1V said today slipped net loss EUR 115000 USD 152000 second quarter 2010 profit EUR 845000 corresponding period year earlier,neutral,"['Finnish', 'solution', 'provider', 'Affecto', 'Oyj', 'HEL', 'AFE1V', 'said', 'today', 'slipped', 'net', 'loss', 'EUR', '115000', 'USD', '152000', 'second', 'quarter', '2010', 'profit', 'EUR', '845000', 'corresponding', 'period', 'year', 'earlier']"
US sanction put GazpromShell alliance plan jeopardy,negative,"['US', 'sanction', 'put', 'GazpromShell', 'alliance', 'plan', 'jeopardy']"
Profit period EUR 109 mn EUR 143 mn 2009,neutral,"['Profit', 'period', 'EUR', '109', 'mn', 'EUR', '143', 'mn', '2009']"
Profit period EUR 59 mn EUR 13 mn,positive,"['Profit', 'period', 'EUR', '59', 'mn', 'EUR', '13', 'mn']"
Operating profit fell EUR 203 mn EUR 742 mn second quarter 2008,neutral,"['Operating', 'profit', 'fell', 'EUR', '203', 'mn', 'EUR', '742', 'mn', 'second', 'quarter', '2008']"
However sale returned growth AprilJune 2010 CEO Pekka Eloholma said,positive,"['However', 'sale', 'returned', 'growth', 'AprilJune', '2010', 'CEO', 'Pekka', 'Eloholma', 'said']"
Operating profit totaled EUR 186 mn 83 net sale,neutral,"['Operating', 'profit', 'totaled', 'EUR', '186', 'mn', '83', 'net', 'sale']"
Changes market situation tougher price competition substantially reduced demand bread packaging manufactured Kauhava plant according company,negative,"['Changes', 'market', 'situation', 'tougher', 'price', 'competition', 'substantially', 'reduced', 'demand', 'bread', 'packaging', 'manufactured', 'Kauhava', 'plant', 'according', 'company']"
connection deal Digia employ 19 person Nokia Oslo Silicon Valley USA,neutral,"['connection', 'deal', 'Digia', 'employ', '19', 'person', 'Nokia', 'Oslo', 'Silicon', 'Valley', 'USA']"
Brazilian unit Finnish security solution provider FSecure signed 1500 new client last year online news source Reseller Web quoted division commercial director Vladimir Brando saying,positive,"['Brazilian', 'unit', 'Finnish', 'security', 'solution', 'provider', 'FSecure', 'signed', '1500', 'new', 'client', 'last', 'year', 'online', 'news', 'source', 'Reseller', 'Web', 'quoted', 'division', 'commercial', 'director', 'Vladimir', 'Brando', 'saying']"
fair value company investment property went EUR 2768 billion end 2009 EUR 2916 billion year earlier,neutral,"['fair', 'value', 'company', 'investment', 'property', 'went', 'EUR', '2768', 'billion', 'end', '2009', 'EUR', '2916', 'billion', 'year', 'earlier']"
Dealers said share largely hit investor disappointment refining margin 948 usd per barrel quarter performance shipping unit saw EBIT drop 5 mln eur 20 mln eur year amid fall volume tanker rate,negative,"['Dealers', 'said', 'share', 'largely', 'hit', 'investor', 'disappointment', 'refining', 'margin', '948', 'usd', 'per', 'barrel', 'quarter', 'performance', 'shipping', 'unit', 'saw', 'EBIT', 'drop', '5', 'mln', 'eur', '20', 'mln', 'eur', 'year', 'amid', 'fall', 'volume', 'tanker', 'rate']"
testament quality LTE solution commitment Japanese market added,neutral,"['testament', 'quality', 'LTE', 'solution', 'commitment', 'Japanese', 'market', 'added']"
company aim finalize negotiation sign contract start October 2008,neutral,"['company', 'aim', 'finalize', 'negotiation', 'sign', 'contract', 'start', 'October', '2008']"
Metso Foundries Jyvaskyla Oy discontinue production line 30 September 2008 company said,neutral,"['Metso', 'Foundries', 'Jyvaskyla', 'Oy', 'discontinue', 'production', 'line', '30', 'September', '2008', 'company', 'said']"
total six polled analyst rated Mreal two gave buy accumulate three gave hold one gave sell,neutral,"['total', 'six', 'polled', 'analyst', 'rated', 'Mreal', 'two', 'gave', 'buy', 'accumulate', 'three', 'gave', 'hold', 'one', 'gave', 'sell']"
September 2010 Finnish group agreed buy Danish company Rose Poultry EUR23 9 combination cash stock,positive,"['September', '2010', 'Finnish', 'group', 'agreed', 'buy', 'Danish', 'company', 'Rose', 'Poultry', 'EUR23', '9', 'combination', 'cash', 'stock']"
YANG Double bottom 52,positive,"['YANG', 'Double', 'bottom', '52']"
Tesco share price grocer face SFO investigation outcome,negative,"['Tesco', 'share', 'price', 'grocer', 'face', 'SFO', 'investigation', 'outcome']"
aapl news becoming bullish httpstkscotMU,positive,"['aapl', 'news', 'becoming', 'bullish', 'httpstkscotMU']"
GS Engineering install valve liquefied natural gas LNG plant built UAE LNG extraction gas plant operator GASCO Ruwais UAE,neutral,"['GS', 'Engineering', 'install', 'valve', 'liquefied', 'natural', 'gas', 'LNG', 'plant', 'built', 'UAE', 'LNG', 'extraction', 'gas', 'plant', 'operator', 'GASCO', 'Ruwais', 'UAE']"
percentage share voting right calculated proportion total number share registered Trade Register total number voting right related,neutral,"['percentage', 'share', 'voting', 'right', 'calculated', 'proportion', 'total', 'number', 'share', 'registered', 'Trade', 'Register', 'total', 'number', 'voting', 'right', 'related']"
MReal said ground rumor circulating market month,neutral,"['MReal', 'said', 'ground', 'rumor', 'circulating', 'market', 'month']"
Lember said matter topical also Estonia bill drafted Social Affairs Ministry would scrap oldage pension favorable condition,neutral,"['Lember', 'said', 'matter', 'topical', 'also', 'Estonia', 'bill', 'drafted', 'Social', 'Affairs', 'Ministry', 'would', 'scrap', 'oldage', 'pension', 'favorable', 'condition']"
Moody said gave P A1 longterm senior unsecured P P1 shortterm debt rating Finnish lender Aktia Bank EUR1bn USD1 4 bn euro mediumterm note EMTN program 25 March 2011,neutral,"['Moody', 'said', 'gave', 'P', 'A1', 'longterm', 'senior', 'unsecured', 'P', 'P1', 'shortterm', 'debt', 'rating', 'Finnish', 'lender', 'Aktia', 'Bank', 'EUR1bn', 'USD1', '4', 'bn', 'euro', 'mediumterm', 'note', 'EMTN', 'program', '25', 'March', '2011']"
TSLA recall,negative,"['TSLA', 'recall']"
liquidity providing interrupted May 11 2007 Aspocomp Group Oyj share traded 050 cent Aspocomp stock exchange release 1152007,neutral,"['liquidity', 'providing', 'interrupted', 'May', '11', '2007', 'Aspocomp', 'Group', 'Oyj', 'share', 'traded', '050', 'cent', 'Aspocomp', 'stock', 'exchange', 'release', '1152007']"
Hargreaves Lansdown buck weak market see asset rise 26 percent,positive,"['Hargreaves', 'Lansdown', 'buck', 'weak', 'market', 'see', 'asset', 'rise', '26', 'percent']"
1259 pm OMX Helsinki 25 index 032 pct lower 269481,negative,"['1259', 'pm', 'OMX', 'Helsinki', '25', 'index', '032', 'pct', 'lower', '269481']"
decision mean temporary layoff fixed duration company Nastola Jyvaskyla unit southern central Finland respectively,neutral,"['decision', 'mean', 'temporary', 'layoff', 'fixed', 'duration', 'company', 'Nastola', 'Jyvaskyla', 'unit', 'southern', 'central', 'Finland', 'respectively']"
value order EUR 10mn,neutral,"['value', 'order', 'EUR', '10mn']"
Ms Laakso responsible HKScan HR function development Group smarket area,neutral,"['Ms', 'Laakso', 'responsible', 'HKScan', 'HR', 'function', 'development', 'Group', 'smarket', 'area']"
Fiskars also engaged global supply marine energy equipment solution service associated company Wartsila Corporation,neutral,"['Fiskars', 'also', 'engaged', 'global', 'supply', 'marine', 'energy', 'equipment', 'solution', 'service', 'associated', 'company', 'Wartsila', 'Corporation']"
Aberdeen Asset Management Gains Foothold China,positive,"['Aberdeen', 'Asset', 'Management', 'Gains', 'Foothold', 'China']"
Finland dominating rail company VR planning set infected passenger longdistance trip separate carriage,neutral,"['Finland', 'dominating', 'rail', 'company', 'VR', 'planning', 'set', 'infected', 'passenger', 'longdistance', 'trip', 'separate', 'carriage']"
November Finnish government decreased ownership company 311 percent 38 percent,neutral,"['November', 'Finnish', 'government', 'decreased', 'ownership', 'company', '311', 'percent', '38', 'percent']"
Finnish Exel Composites technology company design manufacture market composite profile tube various industrial application report net sale decreased 06 second quarter 2010 EUR 192 mn EUR 193 mn corresponding period 2009,neutral,"['Finnish', 'Exel', 'Composites', 'technology', 'company', 'design', 'manufacture', 'market', 'composite', 'profile', 'tube', 'various', 'industrial', 'application', 'report', 'net', 'sale', 'decreased', '06', 'second', 'quarter', '2010', 'EUR', '192', 'mn', 'EUR', '193', 'mn', 'corresponding', 'period', '2009']"
Bavelloni NST joint venture Bavelloni Tools completes semiproducts produced Italy highquality tool sold DiaPol brand,neutral,"['Bavelloni', 'NST', 'joint', 'venture', 'Bavelloni', 'Tools', 'completes', 'semiproducts', 'produced', 'Italy', 'highquality', 'tool', 'sold', 'DiaPol', 'brand']"
tool patent pending design allows consumer lay entire project removable plate using multiple clear stamp kind,neutral,"['tool', 'patent', 'pending', 'design', 'allows', 'consumer', 'lay', 'entire', 'project', 'removable', 'plate', 'using', 'multiple', 'clear', 'stamp', 'kind']"
GOOGL short 740 upper BB overbought,negative,"['GOOGL', 'short', '740', 'upper', 'BB', 'overbought']"
LIGHTS curfew curl latest bestseller treat eye perfect reading light Luceplan,neutral,"['LIGHTS', 'curfew', 'curl', 'latest', 'bestseller', 'treat', 'eye', 'perfect', 'reading', 'light', 'Luceplan']"
UPMKymmene Corp world largest maker magazine paper Tuesday reported 19percent profit drop lower paper price higher cost strong euro hurt revenue,negative,"['UPMKymmene', 'Corp', 'world', 'largest', 'maker', 'magazine', 'paper', 'Tuesday', 'reported', '19percent', 'profit', 'drop', 'lower', 'paper', 'price', 'higher', 'cost', 'strong', 'euro', 'hurt', 'revenue']"
total value contract EUR 8 million,neutral,"['total', 'value', 'contract', 'EUR', '8', 'million']"
prerequisite inclusion program receipt gain key employee acquire Aspo share amount determined Board advance maximum,neutral,"['prerequisite', 'inclusion', 'program', 'receipt', 'gain', 'key', 'employee', 'acquire', 'Aspo', 'share', 'amount', 'determined', 'Board', 'advance', 'maximum']"
Mr Doring Eaton since 1989 acted Business Unit Manager Eaton Power Controls Business Unit since January 2007,neutral,"['Mr', 'Doring', 'Eaton', 'since', '1989', 'acted', 'Business', 'Unit', 'Manager', 'Eaton', 'Power', 'Controls', 'Business', 'Unit', 'since', 'January', '2007']"
250 sq 2691 sq ft store Copenhagen premier shopping district inaugurated today strengthening company presence Nordic capital,positive,"['250', 'sq', '2691', 'sq', 'ft', 'store', 'Copenhagen', 'premier', 'shopping', 'district', 'inaugurated', 'today', 'strengthening', 'company', 'presence', 'Nordic', 'capital']"
financial statement first quarter 2010 Tikkurila reported discontinued operation,neutral,"['financial', 'statement', 'first', 'quarter', '2010', 'Tikkurila', 'reported', 'discontinued', 'operation']"
world second largest stainless steel maker said net profit threemonth period Dec 31 surged euro603 million US 781 million euro3 33 US 431 per share euro172 million euro0 94 per share previous year,positive,"['world', 'second', 'largest', 'stainless', 'steel', 'maker', 'said', 'net', 'profit', 'threemonth', 'period', 'Dec', '31', 'surged', 'euro603', 'million', 'US', '781', 'million', 'euro3', '33', 'US', '431', 'per', 'share', 'euro172', 'million', 'euro0', '94', 'per', 'share', 'previous', 'year']"
Name Applicant Jot Automation OYName Inventor Mammila Tuomo Piirainen Mika Kellokoski MikaApplication 2424KOLNP2008 ADate filing Application 16062008Publication Date 30012009,neutral,"['Name', 'Applicant', 'Jot', 'Automation', 'OYName', 'Inventor', 'Mammila', 'Tuomo', 'Piirainen', 'Mika', 'Kellokoski', 'MikaApplication', '2424KOLNP2008', 'ADate', 'filing', 'Application', '16062008Publication', 'Date', '30012009']"
Netflix Grows Efforts Create Loyal Customers NFLX httpstco5QXBkoBphe,positive,"['Netflix', 'Grows', 'Efforts', 'Create', 'Loyal', 'Customers', 'NFLX', 'httpstco5QXBkoBphe']"
OMX Nordic 40 OMXN40 index comprising 40 traded Nordic stock Nasdaq OMX exchange closed 087 106414 point Thursday,negative,"['OMX', 'Nordic', '40', 'OMXN40', 'index', 'comprising', '40', 'traded', 'Nordic', 'stock', 'Nasdaq', 'OMX', 'exchange', 'closed', '087', '106414', 'point', 'Thursday']"
AAPL nibbling small long via 525 buying 13min chart,positive,"['AAPL', 'nibbling', 'small', 'long', 'via', '525', 'buying', '13min', 'chart']"
operating margin Aker Yards Cruise Ferries division went 83 64 first quarter 2007,negative,"['operating', 'margin', 'Aker', 'Yards', 'Cruise', 'Ferries', 'division', 'went', '83', '64', 'first', 'quarter', '2007']"
TYC break new high lot technical looking great right,positive,"['TYC', 'break', 'new', 'high', 'lot', 'technical', 'looking', 'great', 'right']"
